type,extensions,note_numbers
dominant-ninth,[],"[22, 34, 36, 39, 44]"
suspended-fourth,[],"[21, 31, 35, 38, 45]"
dominant-ninth,[],"[27, 37, 41, 45]"
major-ninth,[],"[26, 42, 45, 52]"
major-seventh,[],"[38, 45, 49, 54]"
minor-seventh,[],"[38, 43, 47, 52]"
minor-seventh,[],"[38, 46, 50, 55]"
major-ninth,[],"[26, 44, 46, 52]"
minor-seventh,[],"[38, 40, 45, 54]"
minor-seventh,[],"[22, 43, 48, 50]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[21, 43, 49, 52]"
half-diminished,[],"[26, 46, 50, 55]"
minor-ninth,[],"[35, 43, 49, 52]"
major,[],"[35, 45, 50, 54]"
minor-ninth,[],"[38, 43, 48, 52]"
dominant-ninth,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","[32, 42, 46, 50]"
dominant,[],"[26, 36, 38, 42, 47]"
major-seventh,[],"[19, 38, 42, 45]"
minor-seventh,[],"[12, 34, 39]"
major,[],"[18, 40, 45]"
dominant,[],"[25, 42, 47]"
dominant-ninth,[],"[43, 47, 50]"
minor-seventh,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[30, 40, 45, 50]"
minor-seventh,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[28, 38, 45, 50]"
dominant-13th,"[{'degree': '11', 'alter': '1', 'type': 'alter'}]","[42, 51, 59]"
major-seventh,[],"[40, 45, 50]"
minor-seventh,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[37, 42, 50]"
minor-seventh,[],"[23, 32, 42, 47, 50]"
minor-13th,[],"[32, 38, 40, 54, 61]"
minor-seventh,[],"[30, 40, 45, 50]"
minor-ninth,[],"[23, 30, 42, 49, 50]"
minor-seventh,[],"[23, 31, 43, 47, 50, 50]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[21, 35, 38, 40]"
dominant,[],"[31, 40, 40, 43, 45]"
major-seventh,[],"[26, 42, 45, 49, 52]"
major,"[{'degree': '13', 'alter': '0', 'type': 'add'}]","[36, 40, 43, 45, 47, 50, 52, 54]"
dominant-13th,[],"[20, 30, 42, 46, 51]"
major-seventh,[],"[19, 43, 47, 52]"
dominant-ninth,[],"[34, 45, 46, 50]"
suspended-fourth,[],"[33, 46, 51, 55]"
dominant,[],"[32, 42, 47, 50]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[21, 43, 46, 50]"
major-seventh,[],"[26, 37, 42, 45, 49]"
dominant,[],"[32, 35, 38]"
diminished,[],"[32, 35, 38]"
major,[],"[21, 34, 39, 43]"
major,[],"[9, 33, 38, 42]"
major,[],"[21, 31, 36, 40]"
major,[],"[21, 34, 39, 43]"
major,[],"[21, 33, 38, 42]"
major,[],"[21, 29, 34, 38]"
major,[],"[21, 31, 35, 38]"
major-seventh,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","[14, 21, 33, 37, 42]"
dominant,[],"[33, 39, 45, 48]"
dominant,[],"[33, 39, 45, 48]"
major,[],"[28, 33, 38, 43]"
dominant,[],"[38, 43, 48, 53]"
major,[],"[35, 40, 45, 50]"
dominant,[],"[33, 38, 43, 47]"
major,[],"[33, 38, 43, 48]"
dominant,[],"[40, 46, 51, 55]"
dominant,[],"[40, 46, 51, 55]"
dominant,[],"[38, 43, 48, 53]"
dominant,[],"[40, 45, 50, 55]"
dominant,[],"[38, 43, 48, 53]"
none,[],"[38, 43, 48, 53]"
dominant,[],"[38, 43, 48, 53]"
major,[],"[40, 45, 50, 55]"
dominant,[],"[33, 39, 43, 48]"
major,[],"[38, 43, 48, 55]"
dominant,[],"[45, 48, 55, 59]"
major,[],"[45, 50, 55, 60]"
dominant,[],"[41, 46, 51, 56]"
dominant,[],"[40, 46, 51, 55]"
dominant,[],"[38, 43, 48, 53]"
dominant,[],"[39, 44, 49, 54]"
dominant,[],"[40, 45, 50, 55]"
none,[],"[40, 45, 50, 55]"
major-seventh,[],"[36, 43, 46, 51]"
major-seventh,[],"[36, 43, 46, 51]"
major-seventh,[],"[36, 41, 45, 50]"
major-seventh,[],"[36, 41, 45, 50]"
minor-seventh,[],"[39, 41, 46, 49]"
dominant,[],"[38, 41, 46]"
minor-seventh,[],"[33, 40, 43, 47]"
dominant,[],"[31, 36, 40, 45]"
minor-seventh,[],"[32, 39, 42, 47]"
dominant,[],"[30, 34, 39, 44]"
dominant,[],"[36, 38, 39, 41]"
major,[],"[36, 40, 41, 43]"
dominant,[],"[48, 50, 51, 53]"
major,[],"[45, 47, 48, 50]"
dominant,[],"[41, 43, 44, 46]"
major,[],"[43, 45, 47, 48]"
dominant,[],"[49, 52, 54, 55]"
dominant,[],"[48, 50, 51, 53]"
dominant,[],"[50, 52, 53, 55]"
minor-sixth,[],"[30, 39, 45, 49, 56]"
dominant-13th,[],"[26, 36, 42, 47, 52]"
half-diminished,[],"[32, 38, 42, 49]"
dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","[25, 35, 41, 45]"
dominant,[],"[25, 35, 41, 44]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[25, 41, 44, 50]"
half-diminished,[],"[23, 33, 38, 42]"
dominant,[],"[11, 33, 38, 42]"
dominant,[],"[36, 39, 43]"
dominant,[],"[37, 40, 43, 47]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[36, 39, 42, 45]"
dominant,[],"[25, 38, 41, 47]"
minor-sixth,[],"[23, 33, 35, 38, 42, 44]"
dominant,[],"[25, 38, 41, 47]"
major-minor,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[33, 37, 39, 42, 45, 49, 53, 56]"
half-diminished,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[25, 35, 40, 43, 47, 54]"
augmented-seventh,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[30, 40, 46, 50, 57]"
