type,extensions,note_numbers
major,[],"[16, 28, 35, 40, 44]"
major,[],"[33, 37, 40]"
major,[],"[8, 20, 32, 35, 40]"
minor-seventh,[],"[33, 37, 40]"
major,[],"[11, 23, 35, 40, 44]"
major,[],"[11, 23, 35, 39, 42]"
dominant,[],"[8, 20, 36, 42, 44]"
minor-13th,[],"[11, 23, 33, 38, 44]"
major,[],"[16, 28, 32, 35, 40]"
major,[],"[8, 20, 32, 35, 40]"
minor-seventh,[],"[33, 37, 40]"
major,[],"[11, 23, 35, 40, 44]"
major,[],"[11, 23, 35, 39, 42]"
dominant,[],"[8, 20, 36, 42, 44]"
minor-seventh,[],"[40, 44, 49]"
minor-13th,[],"[11, 23, 45, 50, 56]"
major,[],"[16, 28, 44, 47, 52]"
major,[],"[8, 20, 44, 47, 52]"
minor-seventh,[],"[6, 18, 45, 49, 52]"
major,[],"[8, 20, 44, 47, 52]"
major,[],"[9, 21, 45, 49, 52]"
diminished,[],"[10, 22, 46, 49, 52]"
dominant-11th,[],"[11, 23, 45, 49, 52, 54]"
dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","[11, 23, 45, 51, 55]"
major,[],"[35, 40, 44]"
dominant,[],"[8, 20, 36, 42, 44]"
minor-seventh,[],"[35, 40, 44]"
minor-seventh,[],"[11, 23, 33, 38, 42]"
major,[],"[16, 28, 35, 40, 44]"
major,[],"[33, 37, 40]"
major,[],"[8, 20, 32, 35, 40]"
minor-seventh,[],"[33, 37, 40]"
major,[],"[11, 23, 35, 40, 44]"
major,[],"[11, 23, 35, 39, 42]"
major-13th,"[{'degree': '11', 'alter': '1', 'type': 'alter'}]","[26, 33, 37, 42, 47, 52, 56]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}, {'degree': '5', 'alter': '1', 'type': 'alter'}]","[25, 35, 41, 45, 47, 52]"
minor-ninth,[],"[18, 25, 33, 40, 44, 49]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[28, 38, 42, 43, 45]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[21, 31, 37, 42, 46, 49, 54]"
major-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[26, 33, 37, 38, 42, 44]"
half-diminished,[],"[26, 32, 36, 41]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}, {'degree': '5', 'alter': '1', 'type': 'alter'}]","[25, 35, 41, 45, 49, 52]"
minor-11th,[],"[30, 33, 37, 40, 44, 47]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}, {'degree': '5', 'alter': '1', 'type': 'alter'}]","[32, 36, 42, 47, 52]"
minor-ninth,[],"[25, 35, 40, 44, 47, 51]"
minor-11th,[],"[30, 37, 42, 47, 52, 57]"
major,[],"[21, 37, 40, 44, 47]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[16, 38, 41, 44, 49]"
major,[],"[21, 37, 40, 44, 47]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[16, 38, 41, 44, 49]"
major,[],"[33, 37, 44, 47, 56]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[31, 35, 40, 41, 45, 49]"
major,[],"[33, 37, 44, 47, 56]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[31, 35, 40, 41, 45, 49]"
half-diminished,[],"[27, 37, 42, 49]"
minor-seventh,[],"[26, 36, 41]"
minor-seventh,[],"[25, 35, 40, 47]"
minor-seventh,[],"[24, 34, 39]"
minor-seventh,[],"[23, 33, 38, 42]"
half-diminished,[],"[16, 35, 38, 41, 45]"
major,[],"[21, 32, 37, 40, 47]"
major,[],"[33, 37, 44, 47, 56]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[31, 35, 40, 41, 45, 49]"
major,[],"[33, 37, 44, 47, 56]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[31, 35, 40, 41, 45, 49]"
half-diminished,[],"[27, 37, 42, 49]"
minor-seventh,[],"[26, 36, 41]"
minor-seventh,[],"[25, 35, 40, 47]"
minor-seventh,[],"[24, 34, 39]"
minor-seventh,[],"[23, 33, 38, 42]"
half-diminished,[],"[16, 35, 38, 41, 45]"
major,[],"[21, 32, 37, 40, 47]"
major,[],"[29, 40, 43, 45, 52]"
dominant-13th,"[{'degree': '11', 'alter': '1', 'type': 'alter'}]","[34, 38, 43, 44, 48, 52]"
major,[],"[29, 40, 43, 45, 52]"
dominant-13th,"[{'degree': '11', 'alter': '1', 'type': 'alter'}]","[34, 38, 43, 44, 48, 52]"
minor-seventh,[],"[25, 35, 40, 44, 52]"
dominant,[],"[31, 35, 41, 45]"
dominant,[],"[30, 34, 40, 44, 52]"
dominant,[],"[24, 34, 40, 43]"
minor-seventh,[],"[23, 33, 38, 42, 50]"
dominant,[],"[29, 33, 39, 43, 49]"
dominant-13th,[],"[28, 32, 38, 42, 49]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[28, 38, 41, 44, 49]"
major,[],"[21, 28, 37, 44, 47, 56]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[19, 29, 40, 45, 49]"
major,[],"[21, 28, 37, 44, 47, 56]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[19, 29, 40, 45, 49]"
half-diminished,[],"[27, 37, 42, 49]"
minor-seventh,[],"[26, 36, 41]"
minor-seventh,[],"[25, 35, 40, 47]"
minor-seventh,[],"[24, 34, 39]"
minor-seventh,[],"[23, 33, 38, 42]"
major,[],"[16, 28, 38, 42, 45]"
major,[],"[21, 32, 37, 40, 47]"
minor,[],"[28, 40, 43]"
major,[],"[31, 38, 42]"
minor-seventh,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[35, 40, 45]"
major-seventh,[],"[19, 31, 38, 42, 43, 47]"
major-seventh,[],"[19, 31, 36, 40, 41, 45]"
major-seventh,[],"[19, 31, 38, 42, 43, 47]"
half-diminished,[],"[18, 36, 40, 42, 45]"
dominant,[],"[23, 33, 39, 43, 47]"
major-ninth,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[12, 24, 34, 38, 40, 42]"
minor-seventh,[],"[13, 25, 35, 37, 40, 42]"
dominant,[],"[18, 30, 34, 38, 40, 42]"
major-seventh,[],"[23, 34, 35, 39]"
minor-seventh,[],"[24, 34, 36, 39, 43, 46]"
minor-11th,[],"[21, 28, 35, 36, 43, 50]"
minor-seventh,[],"[28, 38, 42, 43, 47]"
minor-11th,[],"[25, 32, 39, 40, 47, 54]"
dominant-13th,[],"[30, 40, 44, 46, 50, 54]"
major-seventh,[],"[23, 35, 39, 46, 47]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}, {'degree': '11', 'alter': '0', 'type': 'add'}, {'degree': '13', 'alter': '0', 'type': 'add'}]","[23, 35, 40, 45, 49]"
major,[],"[23, 35, 41, 44, 47]"
major-seventh,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[23, 35, 37, 40, 42, 45]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}, {'degree': '11', 'alter': '0', 'type': 'add'}, {'degree': '13', 'alter': '0', 'type': 'add'}]","[21, 33, 38, 40, 43]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[21, 31, 35, 37, 42]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}, {'degree': '11', 'alter': '0', 'type': 'add'}, {'degree': '13', 'alter': '0', 'type': 'add'}]","[21, 33, 38, 40, 43]"
minor-ninth,[],"[20, 27, 34, 35, 42, 49]"
dominant-13th,[],"[25, 35, 39, 41, 45, 49]"
dominant-ninth,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[19, 31, 38, 41, 45, 49]"
minor-seventh,[],"[25, 32, 39, 40, 47, 54]"
dominant-13th,[],"[25, 32, 39, 40, 47, 54]"
minor-seventh,[],"[27, 37, 42, 46, 51]"
dominant-13th,[],"[32, 42, 49, 51, 54, 56]"
minor-seventh,[],"[30, 40, 49, 52, 54, 57]"
minor-seventh,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[29, 36, 43, 44, 51, 58]"
dominant-13th,[],"[22, 32, 44, 48, 50, 55]"
major-seventh,[],"[20, 32, 51]"
major-seventh,[],"[20, 32, 39, 40, 44, 47, 51]"
major-seventh,[],"[20, 32, 51]"
major-seventh,[],"[20, 32, 39, 40, 44, 47, 51]"
major-seventh,[],"[19, 31, 36, 40, 41, 45]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[19, 31, 45, 50]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[19, 31, 36, 38, 43]"
half-diminished,[],"[18, 36, 40, 42, 45]"
dominant,[],"[23, 33, 39, 43, 47]"
dominant,[],"[6, 36, 40, 45]"
major,[],"[7, 31, 35, 40]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[9, 31, 35, 38]"
dominant,[],"[6, 36, 40, 45]"
major,[],"[7, 31, 35, 40]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[9, 31, 35, 38]"
dominant,[],"[6, 36, 40, 45]"
major,[],"[7, 31, 35, 40]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[9, 31, 35, 38]"
dominant,[],"[6, 36, 40, 45]"
major,[],"[7, 31, 35, 40]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[9, 31, 35, 38]"
major,[],"[14, 38, 42, 45]"
major,[],"[14, 38, 43, 47]"
dominant,[],"[26, 38, 45, 48]"
major,[],"[14, 38, 43, 47]"
major,[],"[14, 38, 42, 45]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[9, 21, 38, 43, 47, 50]"
major,[],"[14, 38, 42, 45, 50]"
major,[],"[21, 45, 50]"
minor,[],"[16, 28, 31, 35, 40]"
minor,[],"[18, 30, 33, 37, 42]"
minor,[],"[23, 38, 42, 47]"
major,[],"[21, 37, 40, 45]"
minor,[],"[23, 38, 42, 47]"
major,[],"[21, 37, 40, 45]"
minor,[],"[23, 38, 42, 47]"
minor,[],"[18, 30, 33, 37, 42]"
minor,[],"[33, 37, 42]"
minor,[],"[33, 37, 42]"
minor,[],"[33, 37, 42]"
major,[],"[17, 29, 32, 37, 44]"
minor,[],"[16, 28, 33, 37, 42]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[15, 27, 33, 37, 43]"
major-ninth,[],"[14, 37, 40, 42, 45]"
minor-seventh,[],"[25, 37, 40, 44, 47]"
minor,[],"[23, 38, 42, 47]"
minor,[],"[21, 42, 47, 50]"
half-diminished,[],"[20, 42, 47, 50, 54]"
dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[25, 35, 41, 45, 53]"
major-ninth,[],"[26, 38, 42, 45, 49]"
minor-seventh,[],"[23, 33, 42, 45, 50]"
minor-seventh,[],"[21, 38, 42, 45]"
half-diminished,[],"[20, 38, 42, 47]"
dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[13, 40, 41, 45]"
dominant,[],"[17, 37, 44, 47]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[15, 37, 43, 45]"
major-ninth,[],"[14, 40, 42, 45, 49]"
minor-seventh,[],"[40, 44, 47, 52]"
minor-seventh,[],"[23, 38, 42, 45, 50]"
minor,[],"[23, 38, 42, 45, 50]"
major-ninth,[],"[19, 38, 42, 47]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[28, 38, 41, 44, 49]"
major-ninth,[],"[26, 40, 42, 49]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[25, 35, 38, 41, 45, 47]"
minor-ninth,[],"[18, 40, 44, 45, 49]"
dominant-13th,"[{'degree': '11', 'alter': '1', 'type': 'alter'}]","[23, 33, 41, 44, 45]"
major-13th,[],"[26, 40, 42, 47]"
major,[],"[25, 33, 40, 44, 47]"
minor-seventh,[],"[21, 30, 38, 42, 47, 47]"
dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[25, 41, 45, 47, 50]"
dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}, {'degree': '9', 'alter': '-1', 'type': 'add'}]","[25, 41, 45, 47, 49]"
major-13th,[],"[19, 35, 40, 42, 45, 49]"
major-seventh,[],"[19, 31, 38, 42, 43, 47]"
major-seventh,[],"[19, 31, 36, 40, 41, 45]"
major-seventh,[],"[19, 31, 38, 42, 43, 47]"
half-diminished,[],"[18, 36, 40, 42, 45]"
dominant,[],"[23, 33, 39, 43, 47]"
major-ninth,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[12, 24, 34, 38, 40, 42]"
minor-seventh,[],"[13, 25, 35, 37, 40, 42]"
dominant,[],"[18, 30, 34, 38, 40, 42]"
major-seventh,[],"[23, 34, 35, 39]"
minor-seventh,[],"[24, 34, 36, 39, 43, 46]"
minor-11th,[],"[21, 28, 35, 36, 43, 50]"
minor-seventh,[],"[28, 38, 42, 43, 47]"
minor-11th,[],"[25, 32, 39, 40, 47, 54]"
dominant-13th,[],"[30, 40, 44, 46, 50, 54]"
major-seventh,[],"[23, 35, 39, 46, 47]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}, {'degree': '11', 'alter': '0', 'type': 'add'}, {'degree': '13', 'alter': '0', 'type': 'add'}]","[23, 35, 40, 45, 49]"
major,[],"[23, 35, 41, 44, 47]"
major-seventh,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[23, 35, 37, 40, 42, 45]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}, {'degree': '11', 'alter': '0', 'type': 'add'}, {'degree': '13', 'alter': '0', 'type': 'add'}]","[21, 33, 38, 40, 43]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[21, 31, 35, 37, 42]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}, {'degree': '11', 'alter': '0', 'type': 'add'}, {'degree': '13', 'alter': '0', 'type': 'add'}]","[21, 33, 38, 40, 43]"
minor-ninth,[],"[20, 27, 34, 35, 42, 49]"
dominant-13th,[],"[25, 35, 39, 41, 45, 49]"
dominant-ninth,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[19, 31, 38, 41, 45, 49]"
minor-seventh,[],"[25, 32, 39, 40, 47, 54]"
dominant-13th,[],"[30, 40, 44, 46, 50, 54]"
minor-seventh,[],"[27, 37, 42, 46, 51]"
dominant-13th,[],"[32, 42, 49, 51, 54, 56]"
minor-seventh,[],"[30, 40, 49, 52, 54, 57]"
minor-seventh,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","[29, 36, 43, 44, 51, 58]"
dominant-13th,[],"[22, 32, 44, 48, 50, 55]"
major-seventh,[],"[20, 32, 51]"
major-seventh,[],"[20, 32, 39, 40, 44, 47, 51]"
major-seventh,[],"[20, 32, 51]"
major-seventh,[],"[20, 32, 39, 40, 44, 47, 51]"
major-seventh,[],"[19, 31, 36, 40, 41, 45]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[19, 31, 45, 50]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[19, 31, 36, 38, 43]"
half-diminished,[],"[18, 36, 40, 42, 45]"
dominant,[],"[23, 33, 39, 43, 47]"
major-seventh,[],"[35, 39, 44]"
minor-seventh,[],"[25, 39, 42]"
minor-seventh,[],"[23, 33, 37, 42]"
major-seventh,[],"[28, 35, 39, 44]"
minor-seventh,[],"[30, 37, 40, 45]"
minor-seventh,[],"[32, 39, 42, 47]"
major-seventh,[],"[33, 40, 44, 49]"
dominant-13th,[],"[33, 39, 44, 51]"
major-seventh,[],"[32, 47, 52]"
dominant-ninth,[],"[31, 45, 47]"
minor-ninth,[],"[30, 40, 44, 49]"
dominant-13th,[],"[28, 34, 39, 44]"
dominant-ninth,[],"[23, 33, 37, 42]"
minor-seventh,[],"[20, 39, 42, 47]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[25, 38, 41]"
minor-seventh,[],"[18, 37, 40, 45]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 36, 39, 44]"
major-ninth,[],"[16, 23, 40]"
minor-seventh,[],"[28, 33, 35, 36, 40]"
major,[],"[16, 23, 40]"
minor-seventh,[],"[16, 23, 40]"
major-ninth,[],"[21, 40, 44, 49]"
dominant,[],"[20, 46, 48, 51]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[30, 34, 37, 44]"
dominant-ninth,[],"[32, 34, 36, 44]"
minor-seventh,[],"[25, 32, 52]"
major,[],"[30, 34, 39, 44]"
dominant-ninth,[],"[30, 34, 39, 44]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[23, 33, 37, 42]"
diminished,[],"[29, 38, 41, 44]"
minor-ninth,[],"[18, 25, 37, 40, 45]"
minor-seventh,[],"[20, 38, 42, 49]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[25, 35, 38, 41, 49]"
minor-seventh,[],"[30, 37, 40, 45]"
minor-seventh,[],"[32, 39, 42, 47]"
minor-seventh,[],"[33, 40, 44, 49]"
dominant-13th,[],"[24, 34, 40, 45, 52]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[23, 33, 37, 40, 42]"
major-seventh,[],"[35, 39, 44]"
minor-ninth,[],"[25, 39, 42]"
minor-seventh,[],"[23, 33, 37, 42]"
major-seventh,[],"[28, 35, 39, 44]"
minor-seventh,[],"[30, 37, 40, 45]"
minor-seventh,[],"[32, 39, 42, 47]"
major-seventh,[],"[33, 40, 44, 49]"
dominant-13th,[],"[33, 39, 44, 51]"
dominant-13th,[],"[28, 28, 34, 39, 44]"
dominant,[],"[23, 33, 37, 42]"
dominant-13th,[],"[23, 33, 39, 44, 51]"
major-seventh,[],"[33, 37, 38, 42, 45]"
major-seventh,[],"[27, 31, 34, 38, 46]"
minor-seventh,[],"[40, 42, 45, 49]"
dominant,[],"[39, 41, 45, 48]"
minor-ninth,[],"[40, 42, 43, 47]"
dominant,[],"[40, 43, 45, 49]"
diminished-seventh,[],"[34, 40, 43, 49]"
minor-seventh,[],"[35, 42, 45, 50]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[32, 38, 41, 47]"
half-diminished,[],"[37, 43, 47, 52]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[28, 38, 41, 44, 50]"
major-seventh,[],"[21, 49, 57]"
minor-seventh,[],"[35, 45, 47, 50, 54]"
minor-seventh,[],"[35, 40, 44]"
dominant-ninth,[],"[30, 43, 46, 48]"
half-diminished,[],"[29, 47, 51, 56]"
minor-seventh,[],"[30, 56, 59]"
dominant-13th,"[{'degree': '11', 'alter': '1', 'type': 'alter'}]","[39, 53, 56]"
half-diminished,[],"[37, 53, 56]"
minor-ninth,[],"[25, 35, 44, 47, 52]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 43, 48, 52]"
minor-seventh,[],"[23, 33, 38, 42, 45]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[28, 38, 41, 47]"
major-seventh,[],"[21, 40, 44, 49]"
minor-seventh,[],"[21, 40, 44, 49]"
half-diminished,[],"[25, 35, 52]"
dominant-ninth,[],"[30, 40, 44, 48]"
diminished-seventh,[],"[34, 40, 43, 49]"
dominant,[],"[19, 29, 35, 38, 43]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[27, 37, 43, 45]"
dominant-13th,[],"[30, 46, 54]"
minor-seventh,[],"[33, 49, 50, 54]"
minor-ninth,[],"[30, 44, 45, 49]"
minor,[],"[28, 44, 45, 49]"
none,[],"[26, 36, 48, 52, 57]"
minor-seventh,[],"[42, 49, 52, 57]"
half-diminished,[],"[44, 50, 53, 59]"
minor-seventh,[],"[35, 45, 47, 50, 54]"
minor-seventh,[],"[36, 46, 48, 50, 54]"
minor-seventh,[],"[31, 41, 45, 49]"
minor-ninth,[],"[30, 40, 44, 49]"
dominant,[],"[29, 39, 43, 47]"
dominant,[],"[28, 38, 42, 47]"
diminished-seventh,[],"[34, 40, 43, 49]"
minor-seventh,[],"[25, 35, 37, 40]"
dominant,[],"[24, 34, 36, 40]"
dominant-ninth,[],"[23, 33, 37, 40]"
minor-seventh,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[22, 32, 36, 40]"
major-seventh,[],"[21, 32, 35, 37, 40]"
major-seventh,[],"[25, 32, 41, 48]"
major-seventh,[],"[20, 32, 36, 39, 43]"
dominant-ninth,[],"[15, 27, 41, 43, 47]"
minor,[],"[15, 27, 41, 43, 47]"
minor-seventh,[],"[13, 25, 35, 40, 44]"
major-seventh,[],"[16, 28, 32, 35, 39]"
major-sixth,[],"[18, 30, 34, 39]"
major,[],"[23, 30, 35, 39]"
major,[],"[23, 30, 35, 39]"
major-seventh,[],"[35, 42, 46, 51]"
major,[],"[28, 39, 44, 44, 49]"
minor-seventh,[],"[21, 31, 40, 43, 47]"
dominant-13th,[],"[30, 40, 46, 51, 56]"
major,[],"[35, 46, 49, 54]"
minor-seventh,[],"[22, 32, 41, 44, 51]"
dominant-13th,[],"[25, 35, 41, 46, 51]"
suspended-fourth,[],"[27, 41, 43, 51]"
dominant,[],"[31, 40, 46, 49]"
minor-seventh,[],"[32, 39, 42, 44, 47]"
major,[],"[31, 38, 43, 47]"
dominant-ninth,[],"[23, 33, 49, 51, 56]"
major-ninth,[],"[28, 39, 42, 44, 49]"
diminished-seventh,[],"[29, 39, 44, 47]"
minor-seventh,[],"[27, 37, 46, 51, 54]"
minor-seventh,[],"[32, 42, 44, 47]"
dominant-ninth,[],"[30, 40, 42, 46, 51]"
diminished-seventh,[],"[31, 40, 49, 51]"
minor,[],"[32, 39, 42, 44, 47]"
diminished-seventh,[],"[29, 49, 53, 56, 59]"
minor-seventh,[],"[27, 37, 46, 51, 54]"
minor-seventh,[],"[32, 42, 44, 47]"
dominant-13th,[],"[30, 40, 42, 46, 51]"
dominant-ninth,[],"[30, 40, 44, 46, 49]"
minor-seventh,[],"[28, 38, 40, 43, 47]"
dominant,[],"[25, 34, 34, 40]"
major,[],"[23, 34, 35, 35, 39]"
major,[],"[30, 37, 40]"
major,[],"[23, 30, 35, 39]"
major-seventh,[],"[35, 42, 46, 51]"
major,[],"[35, 42, 46, 51]"
major,[],"[28, 39, 44, 44, 49]"
minor-seventh,[],"[21, 31, 40, 43, 47]"
dominant-13th,[],"[30, 40, 46, 51, 56]"
major,[],"[35, 46, 49, 54]"
minor-seventh,[],"[22, 32, 41, 44, 51]"
dominant-13th,[],"[25, 35, 41, 46, 51]"
suspended-fourth,[],"[27, 34, 39, 44, 51]"
dominant,[],"[31, 39, 46, 46, 49]"
minor-seventh,[],"[32, 44, 47]"
major,[],"[31, 38, 43, 47]"
dominant-ninth,[],"[23, 33, 49, 51, 56]"
major-seventh,[],"[28, 39, 42, 44, 49]"
diminished-seventh,[],"[29, 39, 44, 47]"
minor-seventh,[],"[27, 37, 46, 51, 54]"
minor-seventh,[],"[32, 42, 44, 47]"
dominant-13th,[],"[30, 40, 44, 46, 51]"
diminished-seventh,[],"[31, 40, 49, 51]"
minor-seventh,[],"[32, 39, 42, 44, 47]"
diminished-seventh,[],"[29, 47, 53, 59]"
minor-seventh,[],"[27, 37, 46, 51, 54]"
minor-seventh,[],"[32, 42, 44, 47]"
dominant-13th,[],"[30, 40, 42, 51]"
dominant,[],"[30, 40, 46, 49]"
dominant-ninth,[],"[23, 33, 39, 42, 47]"
dominant,"[{'degree': '11', 'alter': '-1', 'type': 'add'}]","[23, 33, 37, 40, 42, 47]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '5', 'alter': '-1', 'type': 'alter'}]","[23, 33, 36, 41, 45, 47]"
major-seventh,[],"[25, 29, 36, 51, 56, 60]"
major-seventh,[],"[32, 39, 43, 48, 55]"
minor-seventh,[],"[31, 41, 47, 51, 55]"
dominant-ninth,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[36, 46, 50, 52, 56]"
dominant-ninth,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[29, 39, 45, 50, 55]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[28, 38, 46, 50, 56]"
minor-seventh,[],"[24, 34, 50, 55, 58]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[29, 39, 46, 50, 55]"
dominant,[],"[29, 39, 43, 48, 53]"
major-seventh,[],"[34, 38, 41, 45, 50]"
major-seventh,[],"[34, 38, 45, 50]"
minor-seventh,[],"[36, 39, 45, 51]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[38, 44, 48, 53]"
minor-seventh,[],"[20, 30, 51, 54, 59]"
major,[],"[15, 46, 51, 55]"
major,[],"[16, 47, 52, 56]"
major,[],"[15, 46, 51, 55]"
major-seventh,[],"[23, 42, 46, 47, 51]"
dominant,[],"[23, 33, 39]"
minor-seventh,[],"[25, 35, 40]"
minor-seventh,[],"[27, 37, 42]"
major-seventh,[],"[28, 39, 42, 44]"
dominant,[],"[27, 37, 43, 51]"
major-seventh,[],"[28, 39, 44, 47]"
minor-seventh,[],"[27, 37, 43, 46]"
major-seventh,[],"[28, 39, 44, 47]"
minor-seventh,[],"[27, 37, 43, 46]"
major-seventh,[],"[20, 27, 36]"
minor-seventh,[],"[25, 32, 40, 44, 52]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[18, 40, 44, 49]"
major-seventh,[],"[32, 39, 44, 48, 51]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[25, 32, 35, 42, 47, 52]"
minor-11th,[],"[35, 40, 45, 50, 54]"
dominant,[],"[34, 40, 44, 49, 54]"
dominant,[],"[35, 40, 45, 50, 54]"
major-seventh,[],"[35, 42, 51]"
dominant-ninth,[],"[35, 39, 42, 45, 47, 51]"
major-seventh,[],"[28, 39, 40, 44, 49]"
dominant-13th,[],"[21, 31, 35, 42, 47]"
dominant-ninth,[],"[30, 40, 46, 51, 56]"
major,[],"[27, 37, 45, 49, 54]"
suspended-fourth,[],"[27, 37, 47, 51, 55]"
dominant,[],"[31, 39, 46, 51]"
major,[],"[32, 39, 42, 44, 47]"
dominant,[],"[21, 31, 40, 43, 49]"
minor-11th,[],"[32, 42, 47, 49, 53]"
dominant-ninth,[],"[25, 35, 51, 53, 58]"
major,[],"[30, 41, 44, 46, 51]"
diminished-seventh,[],"[31, 41, 46, 49]"
minor-seventh,[],"[29, 39, 48, 53, 56]"
minor-seventh,[],"[34, 44, 46, 49]"
dominant-13th,[],"[32, 42, 46, 48, 53]"
diminished-seventh,[],"[33, 42, 51, 53]"
minor,[],"[34, 41, 44, 46, 49]"
