root,type,extensions,notes,note_numbers
Ab,dominant,[],"['Ab2', 'Gb3', 'Db4', 'Ab4', 'C5', 'Eb5']","[24, 34, 41, 48, 52, 55]"
D,major-seventh,[],"['D2', 'A4', 'C#5', 'F#5']","[18, 49, 53, 58]"
G,major-seventh,[],"['D3', 'B3', 'B4', 'G5']","[30, 39, 51, 59]"
C,major-seventh,[],"['C3', 'B3', 'E4', 'G4', 'B4']","[28, 39, 44, 47, 51]"
Gb,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['Gb3', 'Bb3', 'C4', 'E4']","[34, 38, 40, 44]"
B,dominant,[],"['B2', 'A3', 'Eb4', 'Gb4']","[27, 37, 43, 46]"
E,major-seventh,[],"['E1', 'E2', 'Ab3']","[8, 20, 36]"
Eb,suspended-fourth,[],"['Eb3', 'Db4', 'Eb4', 'F4', 'Ab4']","[31, 41, 43, 45, 48]"
Eb,dominant,[],"['Db3', 'Bb3', 'Db4', 'Eb4', 'G4', 'Bb4', 'Bb4']","[29, 38, 41, 43, 47, 50, 50]"
B,dominant-ninth,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['B2', 'A3', 'F4', 'Ab4', 'C#5']","[27, 37, 45, 48, 53]"
A,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","['A2', 'G3', 'G4', 'B4', 'Eb5']","[25, 35, 47, 51, 55]"
Ab,major,"[{'degree': '11', 'alter': '0', 'type': 'add'}]","['Ab2', 'F3', 'Ab3', 'Db4', 'F4']","[24, 33, 36, 41, 45]"
Ab,dominant-ninth,[],"['Ab2', 'Gb3', 'Bb3', 'Eb4', 'Gb4']","[24, 34, 38, 43, 46]"
Db,major-seventh,[],"['Db1', 'Db2', 'F3', 'Ab3', 'F4']","[5, 17, 33, 36, 45]"
Bb,major-seventh,[],"['Bb2', 'A3', 'Bb3', 'C4']","[26, 37, 38, 40]"
Bb,major-seventh,[],"['A3', 'Bb3', 'Bb3', 'D4']","[37, 38, 38, 42]"
F,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","['C3', 'G3', 'Bb3', 'Eb4']","[28, 35, 38, 43]"
Bb,major-seventh,[],"['Bb1', 'A3', 'C4']","[14, 37, 40]"
C,minor-seventh,[],"['Gb2', 'Eb4', 'Ab4', 'Bb4']","[22, 43, 48, 50]"
F,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['F2', 'Eb4', 'A4', 'C5']","[21, 43, 49, 52]"
Eb,major,[],"['Eb4', 'G4', 'Bb4', 'Eb5']","[43, 47, 50, 55]"
Bb,major,[],"['Bb2', 'G3', 'F4', 'D5']","[26, 35, 45, 54]"
Eb,major,[],"['Bb2', 'G4', 'Eb5']","[26, 47, 55]"
Bb,dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","['A3', 'D4', 'Gb4']","[37, 42, 46]"
Bb,dominant-ninth,[],"['Ab3', 'D4', 'G4', 'C5']","[36, 42, 47, 52]"
A,minor-seventh,[],"['A2', 'A3', 'C4', 'D4']","[25, 37, 40, 42]"
D,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '13', 'alter': '-1', 'type': 'add'}]","['D4', 'Eb5', 'F#5', 'Bb5']","[42, 55, 58, 62]"
