root,type,extensions,notes,note_numbers
D,other,[],"['F3', 'Ab3', 'B3', 'D4']","[33, 36, 39, 42]"
C,dominant,[],"['G3', 'Bb3', 'C4', 'E4']","[35, 38, 40, 44]"
D,other,[],"['Ab3', 'B3', 'D4', 'F4']","[36, 39, 42, 45]"
C,dominant,[],"['Bb3', 'C4', 'E4', 'G4']","[38, 40, 44, 47]"
D,other,[],"['C4', 'Eb4', 'F#4', 'A4']","[40, 43, 46, 49]"
C,dominant,[],"['C4', 'E4', 'G4', 'Bb4']","[40, 44, 47, 50]"
D,other,[],"['D4', 'F4', 'Ab4', 'B4']","[42, 45, 48, 51]"
C,dominant,[],"['E4', 'G4', 'Bb4', 'C5']","[44, 47, 50, 52]"
C,dominant,[],"['Bb2', 'E3', 'G3', 'C4']","[26, 32, 35, 40]"
D,other,[],"['B2', 'F3', 'Ab3', 'D4']","[27, 33, 36, 42]"
C,dominant,[],"['C3', 'G3', 'Bb3', 'E4']","[28, 35, 38, 44]"
D,other,[],"['D3', 'Ab3', 'B3', 'F4']","[30, 36, 39, 45]"
C,dominant,[],"['E3', 'Bb3', 'C4', 'G4']","[32, 38, 40, 47]"
D,other,[],"['F#3', 'C4', 'Eb4', 'A4']","[34, 40, 43, 49]"
C,dominant,[],"['G3', 'C4', 'E4', 'Bb4']","[35, 40, 44, 50]"
D,other,[],"['Ab3', 'D4', 'F4', 'B4']","[36, 42, 45, 51]"
C,dominant,[],"['Bb3', 'E4', 'G4', 'C5']","[38, 44, 47, 52]"
D,other,[],"['F3', 'Ab3', 'B3', 'D4']","[33, 36, 39, 42]"
D,other,[],"['Ab3', 'B3', 'D4', 'F4']","[36, 39, 42, 45]"
D,other,[],"['C4', 'Eb4', 'F#4', 'A4']","[40, 43, 46, 49]"
D,other,[],"['D4', 'F4', 'Ab4', 'B4']","[42, 45, 48, 51]"
C,major-sixth,[],"['C4', 'E4', 'G4', 'A4']","[40, 44, 47, 49]"
C,minor-seventh,[],"['C4', 'Eb4', 'G4', 'Bb4']","[40, 43, 47, 50]"
C,dominant,[],"['C4', 'E4', 'G4', 'Bb4']","[40, 44, 47, 50]"
Eb,major-sixth,[],"['Eb3', 'G3', 'Bb3', 'C4']","[31, 35, 38, 40]"
D,half-diminished,[],"['Ab3', 'C4', 'D4', 'F4']","[36, 40, 42, 45]"
Eb,major-sixth,[],"['Bb2', 'Eb3', 'G3', 'C4']","[26, 31, 35, 40]"
D,half-diminished,[],"['D3', 'Ab3', 'C4', 'F4']","[30, 36, 40, 45]"
Eb,major,[],"['G3', 'C4', 'Eb4', 'Bb4']","[35, 40, 43, 50]"
F,minor-seventh,[],"['Eb3', 'Ab3', 'C4', 'F4']","[31, 36, 40, 45]"
Bb,dominant,[],"['D3', 'Ab3', 'Bb3', 'F4']","[30, 36, 38, 45]"
E,minor-sixth,[],"['C#3', 'G3', 'B3', 'E4']","[29, 35, 39, 44]"
E,major-minor,[],"['G3', 'D#4', 'F#4', 'B4']","[35, 43, 46, 51]"
F#,minor-seventh,[],"['A2', 'E3', 'F#3', 'C#4']","[25, 32, 34, 41]"
C,minor-sixth,[],"['A2', 'Eb3', 'G3', 'C4']","[25, 31, 35, 40]"
B,major-seventh,[],"['B2', 'F#3', 'D#4', 'A#4', 'F#5']","[27, 34, 43, 50, 58]"
D,dominant,"[{'degree': '13', 'alter': '1', 'type': 'add'}]","['D3', 'A3', 'C4', 'F#4', 'B4', 'D5']","[30, 37, 40, 46, 51, 54]"
G,major-seventh,[],"['G2', 'D3', 'G3', 'B3', 'F#4', 'B4']","[23, 30, 35, 39, 46, 51]"
Bb,dominant-ninth,"[{'degree': '13', 'alter': '1', 'type': 'add'}]","['Bb2', 'F3', 'Ab3', 'C4', 'D4', 'G4']","[26, 33, 36, 40, 42, 47]"
Eb,major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","['Eb3', 'Bb3', 'C4', 'D4', 'F4', 'G4', 'Bb4']","[31, 38, 40, 42, 45, 47, 50]"
A,minor-seventh,[],"['A2', 'E3', 'G3', 'C4', 'G4', 'B4']","[25, 32, 35, 40, 47, 51]"
D,dominant,[],"['D3', 'A3', 'C4', 'F#4', 'A4']","[30, 37, 40, 46, 49]"
G,major-seventh,[],"['G2', 'D3', 'G3', 'F#4', 'B4', 'D5']","[23, 30, 35, 46, 51, 54]"
Bb,dominant,"[{'degree': '13', 'alter': '1', 'type': 'add'}]","['Bb2', 'F3', 'Ab3', 'D4', 'G4', 'Bb4']","[26, 33, 36, 42, 47, 50]"
Eb,major-seventh,[],"['Eb2', 'Bb2', 'Eb3', 'G3', 'Bb3', 'D4', 'G4']","[19, 26, 31, 35, 38, 42, 47]"
F#,dominant-ninth,"[{'degree': '13', 'alter': '1', 'type': 'add'}]","['F#2', 'C#3', 'E3', 'G#3', 'A#3', 'D#4']","[22, 29, 32, 36, 38, 43]"
B,major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","['B2', 'F#3', 'G#3', 'A#3', 'C#4', 'D#4', 'F#4']","[27, 34, 36, 38, 41, 43, 46]"
F,minor-seventh,[],"['F2', 'C3', 'Ab3', 'C4', 'Eb4', 'G4']","[21, 28, 36, 40, 43, 47]"
Bb,dominant,[],"['Bb2', 'F3', 'Ab3', 'D4', 'F4']","[26, 33, 36, 42, 45]"
Eb,major,[],"['Eb2', 'Bb2', 'Eb3', 'D4', 'G4', 'Bb4']","[19, 26, 31, 42, 47, 50]"
A,minor-seventh,[],"['A2', 'E3', 'C4', 'G4', 'B4']","[25, 32, 40, 47, 51]"
D,dominant,[],"['D3', 'A3', 'C4', 'F#4', 'A4']","[30, 37, 40, 46, 49]"
G,major-seventh,[],"['G2', 'D3', 'G3', 'F#4', 'B4', 'D5']","[23, 30, 35, 46, 51, 54]"
C#,minor-seventh,[],"['C#3', 'G#3', 'E4', 'B4', 'D#5']","[29, 36, 44, 51, 55]"
F#,dominant,[],"['F#3', 'C#4', 'E4', 'A#4', 'C#5']","[34, 41, 44, 50, 53]"
B,major-seventh,[],"['B2', 'F#3', 'B3', 'A#4', 'D#5', 'F#5']","[27, 34, 39, 50, 55, 58]"
F,minor-seventh,[],"['F3', 'C4', 'Eb4', 'Ab4', 'C5', 'G5']","[33, 40, 43, 48, 52, 59]"
Bb,dominant,[],"['Bb2', 'F3', 'Bb3', 'Ab4', 'D5', 'F5']","[26, 33, 38, 48, 54, 57]"
Eb,major-seventh,[],"['Eb3', 'Bb3', 'D4', 'Bb4', 'G5', 'Bb5']","[31, 38, 42, 50, 59, 62]"
C#,minor-seventh,[],"['C#3', 'G#3', 'B3', 'G#4', 'E5', 'F#5']","[29, 36, 39, 48, 56, 58]"
F#,dominant,[],"['F#3', 'C#4', 'E4', 'A#4', 'E5', 'F#5']","[34, 41, 44, 50, 56, 58]"
F,major-seventh,[],"['E3', 'G3', 'A3', 'C4']","[32, 35, 37, 40]"
G,dominant,[],"['G2', 'Ab3', 'B3', 'D4', 'F4']","[23, 36, 39, 42, 45]"
G,minor-seventh,[],"['F3', 'A3', 'Bb3', 'D4']","[33, 37, 38, 42]"
C,dominant,[],"['C3', 'G3', 'Bb3', 'Db4', 'F4']","[28, 35, 38, 41, 45]"
A,half-diminished,[],"['A2', 'Eb4', 'G4', 'A4', 'C5']","[25, 43, 47, 49, 52]"
D,dominant,[],"['D2', 'F#3', 'Bb3', 'C4', 'Eb4']","[18, 34, 38, 40, 43]"
A,dominant,[],"['A2', 'C#4', 'E4', 'G4', 'Bb4']","[25, 41, 44, 47, 50]"
D,dominant,[],"['D2', 'A3', 'C4', 'Eb4', 'F#4']","[18, 37, 40, 43, 46]"
G,dominant,[],"['B3', 'D4', 'F4', 'Ab4']","[39, 42, 45, 48]"
Gb,major-seventh,[],"['Gb2', 'Ab3', 'Bb3', 'Db4', 'F4']","[22, 36, 38, 41, 45]"
C,dominant,[],"['C2', 'E3', 'A3', 'Bb3', 'Db4']","[16, 32, 37, 38, 41]"
G,minor-seventh,[],"['D4', 'F4', 'G4', 'C5']","[42, 45, 47, 52]"
Bb,minor-sixth,[],"['Bb2', 'Db4', 'F4', 'G4', 'Bb4']","[26, 41, 45, 47, 50]"
F,major-seventh,[],"['F2', 'A3', 'D4', 'E4', 'G4']","[21, 37, 42, 44, 47]"
B,half-diminished,[],"['B2', 'F3', 'A3', 'B3', 'E4']","[27, 33, 37, 39, 44]"
E,dominant,[],"['G#3', 'C#4', 'D4', 'F4']","[36, 41, 42, 45]"
A,major-seventh,[],"['G#3', 'B3', 'C#4', 'E4']","[36, 39, 41, 44]"
Bb,diminished-seventh,[],"['Bb2', 'G3', 'Bb3', 'Db4', 'E4']","[26, 35, 38, 41, 44]"
B,minor-seventh,[],"['B2', 'F#3', 'A3', 'B3', 'E4']","[27, 34, 37, 39, 44]"
E,dominant,[],"['E2', 'F3', 'G#3', 'B3', 'E4']","[20, 33, 36, 39, 44]"
A,major-seventh,[],"['A2', 'G#3', 'B3', 'C#4', 'E4']","[25, 36, 39, 41, 44]"
Bb,diminished-seventh,[],"['Bb2', 'G3', 'Bb3', 'Db4', 'E4']","[26, 35, 38, 41, 44]"
B,minor-seventh,[],"['B2', 'F#3', 'A3', 'B3', 'E4']","[27, 34, 37, 39, 44]"
E,dominant,[],"['E2', 'F3', 'Ab3', 'B3', 'E4']","[20, 33, 36, 39, 44]"
A,major-seventh,[],"['G#3', 'B3', 'C#4', 'E4']","[36, 39, 41, 44]"
F#,minor-seventh,[],"['F#2', 'C#4', 'E4', 'F#4', 'B4']","[22, 41, 44, 46, 51]"
B,minor-seventh,[],"['B1', 'F#3', 'A3', 'B3', 'E4']","[15, 34, 37, 39, 44]"
E,dominant,[],"['E2', 'F3', 'G#3', 'B3', 'E4']","[20, 33, 36, 39, 44]"
C,major-seventh,[],"['C3', 'B3', 'D4', 'E4', 'G4']","[28, 39, 42, 44, 47]"
C#,diminished-seventh,[],"['C#3', 'Bb3', 'C#4', 'E4', 'G4']","[29, 38, 41, 44, 47]"
D,minor-seventh,[],"['D3', 'A3', 'C4', 'D4', 'G4']","[30, 37, 40, 42, 47]"
G,dominant,[],"['G2', 'Ab3', 'B3', 'D4', 'G4']","[23, 36, 39, 42, 47]"
G,minor-seventh,[],"['G2', 'D4', 'F4', 'G4', 'Bb4']","[23, 42, 45, 47, 50]"
D,dominant,[],"['D3', 'Eb4', 'F#4', 'A4', 'C5']","[30, 43, 46, 49, 52]"
G,dominant,[],"['G2', 'Ab3', 'B3', 'D4', 'G4']","[23, 36, 39, 42, 47]"
C,dominant,[],"['C3', 'Bb3', 'C#4', 'E4', 'G4']","[28, 38, 41, 44, 47]"
F,major-seventh,[],"['E3', 'G3', 'A3', 'C4']","[32, 35, 37, 40]"
G,dominant,[],"['G2', 'Ab3', 'B3', 'D4', 'F4']","[23, 36, 39, 42, 45]"
G,minor-seventh,[],"['F3', 'A3', 'Bb3', 'D4']","[33, 37, 38, 42]"
C,dominant,[],"['C3', 'G3', 'Bb3', 'Db4', 'F4']","[28, 35, 38, 41, 45]"
A,half-diminished,[],"['A2', 'Eb4', 'G4', 'A4', 'D5']","[25, 43, 47, 49, 54]"
D,dominant,[],"['D3', 'C4', 'Eb4', 'F#4', 'Bb4']","[30, 40, 43, 46, 50]"
G,minor-seventh,[],"['G2', 'D4', 'F4', 'G4', 'C5']","[23, 42, 45, 47, 52]"
Bb,minor-sixth,[],"['Bb2', 'Db4', 'F4', 'G4', 'Bb4']","[26, 41, 45, 47, 50]"
F,major-seventh,[],"['F2', 'C4', 'E4', 'F4', 'A4']","[21, 40, 44, 45, 49]"
D,minor-seventh,[],"['D3', 'A3', 'C4', 'D4', 'G4']","[30, 37, 40, 42, 47]"
G,dominant,[],"['G2', 'A3', 'Bb3', 'D4', 'F4']","[23, 37, 38, 42, 45]"
Bb,minor-seventh,[],"['Bb2', 'Ab3', 'C4', 'Db4', 'F4']","[26, 36, 40, 41, 45]"
Eb,dominant,[],"['Eb2', 'Db4', 'F4', 'G4', 'C5']","[19, 41, 45, 47, 52]"
G,dominant,[],"['G2', 'A3', 'Bb3', 'D4', 'F4']","[23, 37, 38, 42, 45]"
G,minor-seventh,[],"['G2', 'A3', 'Bb3', 'D4', 'F4']","[23, 37, 38, 42, 45]"
C,dominant,[],"['C3', 'G3', 'Bb3', 'Db4', 'Eb4']","[28, 35, 38, 41, 43]"
F,major-sixth,[],"['F2', 'A3', 'D4', 'E4', 'G4']","[21, 37, 42, 44, 47]"
G,major-seventh,[],"['G2', 'A3', 'B3', 'D4']","[23, 37, 39, 42]"
Bb,dominant,[],"['Bb2', 'Ab3', 'Bb3', 'D4']","[26, 36, 38, 42]"
E,dominant,[],"['E3', 'D4', 'Gb4', 'Bb4']","[32, 42, 46, 50]"
C,minor-seventh,[],"['C3', 'Bb3', 'Eb4', 'G4', 'C5']","[28, 38, 43, 47, 52]"
Bb,dominant,[],"['Bb2', 'Ab3', 'Db4', 'Eb4', 'C5']","[26, 36, 41, 43, 52]"
A,minor-seventh,[],"['A2', 'G3', 'C4', 'D4']","[25, 35, 40, 42]"
Bb,dominant-ninth,[],"['Bb2', 'Ab3', 'C4', 'D4']","[26, 36, 40, 42]"
A,minor-seventh,[],"['A2', 'C4', 'D4']","[25, 40, 42]"
D,dominant-ninth,[],"['D3', 'C4', 'D4', 'F#4']","[30, 40, 42, 46]"
Eb,dominant-ninth,[],"['Eb3', 'Db4', 'F4', 'A4']","[31, 41, 45, 49]"
D,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['D3', 'Eb4', 'F#4', 'C5']","[30, 43, 46, 52]"
G,major-seventh,[],"['G2', 'D4', 'F#4', 'B4']","[23, 42, 46, 51]"
C,minor-seventh,[],"['C4', 'Eb4', 'G4', 'Eb5']","[40, 43, 47, 55]"
C,minor-seventh,[],"['B3', 'Eb4', 'G4', 'Eb5']","[39, 43, 47, 55]"
C,minor-seventh,[],"['Bb3', 'Eb4', 'G4', 'Eb5']","[38, 43, 47, 55]"
B,dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","['B2', 'A3', 'Eb4', 'Ab4']","[27, 37, 43, 48]"
Bb,major-seventh,[],"['Bb2', 'A3', 'A4', 'D5']","[26, 37, 49, 54]"
Eb,dominant,[],"['Eb3', 'G3', 'Db4', 'G4']","[31, 35, 41, 47]"
F#,half-diminished,[],"['F#3', 'A3', 'E4', 'C5']","[34, 37, 44, 52]"
B,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['B2', 'A3', 'Eb4', 'C5']","[27, 37, 43, 52]"
E,dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","['E3', 'G#3', 'D4', 'G4', 'C5']","[32, 36, 42, 47, 52]"
Eb,dominant,[],"['Eb3', 'G3', 'Db4', 'F4']","[31, 35, 41, 45]"
D,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['D3', 'F#3', 'C4', 'Eb4', 'F#4']","[30, 34, 40, 43, 46]"
G,major-13th,[],"['G2', 'F3', 'B3', 'E4', 'B4']","[23, 33, 39, 44, 51]"
Gb,minor-seventh,[],"['Gb2', 'E3', 'Bb3', 'Eb4', 'Bb4']","[22, 32, 38, 43, 50]"
D,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['D3', 'F#3', 'C4', 'Eb4', 'F#4', 'Bb4']","[30, 34, 40, 43, 46, 50]"
G,major-seventh,[],"['G2', 'A3', 'B3', 'D4']","[23, 37, 39, 42]"
G,minor-seventh,[],"['Gb2', 'Bb3', 'D4']","[22, 38, 42]"
F,minor-ninth,[],"['F2', 'D3', 'A3', 'D4']","[21, 30, 37, 42]"
E,dominant-ninth,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","['E3', 'Gb4', 'Bb4']","[32, 46, 50]"
Eb,major-seventh,[],"['Eb3', 'D4', 'Bb4', 'D5']","[31, 42, 50, 54]"
C,minor-seventh,[],"['C3', 'Bb3', 'Eb4', 'G4', 'C5']","[28, 38, 43, 47, 52]"
Bb,dominant,[],"['Bb2', 'Ab3', 'Db4', 'Eb4', 'C5']","[26, 36, 41, 43, 52]"
A,minor-seventh,[],"['A2', 'G3', 'C4', 'D4']","[25, 35, 40, 42]"
Bb,dominant-ninth,[],"['Bb2', 'Ab3', 'C4', 'D4']","[26, 36, 40, 42]"
A,minor-seventh,[],"['A2', 'C4', 'D4']","[25, 40, 42]"
D,dominant-ninth,[],"['D3', 'C4', 'D4', 'F#4']","[30, 40, 42, 46]"
Eb,dominant-ninth,[],"['Eb3', 'Db4', 'F4', 'A4']","[31, 41, 45, 49]"
D,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['D3', 'Eb4', 'F#4', 'C5']","[30, 43, 46, 52]"
G,major-seventh,[],"['G2', 'D4', 'F#4', 'B4']","[23, 42, 46, 51]"
B,minor-seventh,[],"['B3', 'F#4', 'A4', 'E5']","[39, 46, 49, 56]"
Bb,minor-seventh,[],"['Bb3', 'F4', 'Ab4', 'E5']","[38, 45, 48, 56]"
A,minor-seventh,[],"['A3', 'G4', 'B4', 'E5']","[37, 47, 51, 56]"
E,minor-ninth,[],"['E3', 'D4', 'F#4', 'A4']","[32, 42, 46, 49]"
D,dominant-13th,[],"['D3', 'Eb4', 'F#4', 'B4']","[30, 43, 46, 51]"
C,minor-sixth,[],"['C3', 'Eb4', 'A4', 'C5']","[28, 43, 49, 52]"
B,minor-seventh,[],"['B2', 'A3', 'D5']","[27, 37, 54]"
Eb,minor-ninth,[],"['Eb3', 'Bb3', 'Db4', 'Gb4']","[31, 38, 41, 46]"
E,minor-seventh,[],"['E3', 'B3', 'D4', 'G4']","[32, 39, 42, 47]"
Bb,diminished-seventh,[],"['Bb2', 'G3', 'Db4', 'E4', 'G4']","[26, 35, 41, 44, 47]"
B,minor-seventh,[],"['B2', 'A3', 'B3', 'D4']","[27, 37, 39, 42]"
Bb,dominant-ninth,[],"['Bb2', 'Ab3', 'Bb3', 'D4']","[26, 36, 38, 42]"
A,minor-11th,[],"['A2', 'G3', 'A3', 'C4', 'D4']","[25, 35, 37, 40, 42]"
D,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['D2', 'C4', 'Eb4', 'A4']","[18, 40, 43, 49]"
A,half-diminished,[],"['A2', 'G3', 'C4', 'Eb4', 'A4']","[25, 35, 40, 43, 49]"
D,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['D3', 'C4', 'Eb4', 'F#4', 'Bb4']","[30, 40, 43, 46, 50]"
G,major,[],"['G2', 'F#3', 'Bb3', 'D4', 'F#4', 'A4']","[23, 34, 38, 42, 46, 49]"
C,none,[],"['E3', 'A3', 'D4', 'G4', 'B4']","[32, 37, 42, 47, 51]"
E,minor-seventh,[],"['E3', 'A3', 'D4', 'G4', 'B4']","[32, 37, 42, 47, 51]"
D,minor-seventh,[],"['D3', 'G3', 'C4', 'F4', 'A4']","[30, 35, 40, 45, 49]"
E,minor-seventh,[],"['A2', 'E3', 'A3', 'D4', 'G4', 'B4']","[25, 32, 37, 42, 47, 51]"
D,minor-seventh,[],"['D3', 'G3', 'C4', 'F4', 'A4']","[30, 35, 40, 45, 49]"
E,minor-seventh,[],"['E3', 'A3', 'D4', 'G4', 'B4']","[32, 37, 42, 47, 51]"
D,minor-seventh,[],"['D3', 'G3', 'C4', 'F4', 'A4']","[30, 35, 40, 45, 49]"
E,minor-seventh,[],"['A2', 'E3', 'A3', 'D4', 'G4', 'B4']","[25, 32, 37, 42, 47, 51]"
D,minor-seventh,[],"['D3', 'G3', 'C4', 'F4', 'A4']","[30, 35, 40, 45, 49]"
C,none,[],"['F3', 'Bb3', 'Eb4', 'Ab4', 'C5']","[33, 38, 43, 48, 52]"
F,minor-seventh,[],"['F3', 'Bb3', 'Eb4', 'Ab4', 'C5']","[33, 38, 43, 48, 52]"
Eb,minor-seventh,[],"['Eb3', 'Ab3', 'Eb4', 'Gb4', 'Bb4']","[31, 36, 43, 46, 50]"
C,none,[],"['Bb2', 'F3', 'Bb3', 'Eb4', 'Ab4', 'C5']","[26, 33, 38, 43, 48, 52]"
F,minor-seventh,[],"['Bb2', 'F3', 'Bb3', 'Eb4', 'Ab4', 'C5']","[26, 33, 38, 43, 48, 52]"
Eb,minor-seventh,[],"['Eb3', 'Ab3', 'Eb4', 'Gb4', 'Bb4']","[31, 36, 43, 46, 50]"
C,none,[],"['F3', 'Bb3', 'Eb4', 'Ab4', 'C5']","[33, 38, 43, 48, 52]"
F,minor-seventh,[],"['F3', 'Bb3', 'Eb4', 'Ab4', 'C5']","[33, 38, 43, 48, 52]"
Eb,minor-seventh,[],"['Eb3', 'Ab3', 'Eb4', 'Gb4', 'Bb4']","[31, 36, 43, 46, 50]"
C,none,[],"['Bb2', 'F3', 'Bb3', 'Eb4', 'Ab4', 'C5']","[26, 33, 38, 43, 48, 52]"
F,minor-seventh,[],"['Bb2', 'F3', 'Bb3', 'Eb4', 'Ab4', 'C5']","[26, 33, 38, 43, 48, 52]"
Eb,minor-seventh,[],"['Eb3', 'Ab3', 'Eb4', 'Gb4', 'Bb4']","[31, 36, 43, 46, 50]"
C,none,[],"['E3', 'A3', 'D4', 'G4', 'B4']","[32, 37, 42, 47, 51]"
E,minor-seventh,[],"['E3', 'A3', 'D4', 'G4', 'B4']","[32, 37, 42, 47, 51]"
D,minor-seventh,[],"['D3', 'G3', 'C4']","[30, 35, 40]"
E,minor-seventh,[],"['A2', 'E3', 'A3', 'D4', 'G4', 'B4']","[25, 32, 37, 42, 47, 51]"
D,minor-seventh,[],"['D3', 'G3', 'C4', 'F4', 'A4']","[30, 35, 40, 45, 49]"
E,minor-seventh,[],"['E3', 'A3', 'D4', 'G4', 'B4']","[32, 37, 42, 47, 51]"
D,minor-seventh,[],"['D3', 'G3', 'C4', 'F4', 'A4']","[30, 35, 40, 45, 49]"
E,minor-seventh,[],"['A2', 'E3', 'A3', 'D4', 'G4', 'B4']","[25, 32, 37, 42, 47, 51]"
D,minor-seventh,[],"['D3', 'E3', 'C4', 'F4', 'A4']","[30, 32, 40, 45, 49]"
C,minor-seventh,[],"['Eb4', 'Bb4', 'C5', 'G5']","[43, 50, 52, 59]"
F,minor-seventh,[],"['F3', 'C4', 'Eb4', 'Ab4']","[33, 40, 43, 48]"
C,major-minor,[],"['Eb4', 'B4', 'D5', 'G5']","[43, 51, 54, 59]"
C,minor-sixth,[],"['A3', 'Eb4', 'G4', 'C5']","[37, 43, 47, 52]"
F,minor-sixth,[],"['F3', 'C4', 'D4', 'Ab4']","[33, 40, 42, 48]"
C,major-sixth,[],"['E3', 'G3', 'A3', 'C4']","[32, 35, 37, 40]"
D,diminished,[],"['F3', 'Ab3', 'B3', 'D4']","[33, 36, 39, 42]"
C,major-sixth,[],"['E3', 'G3', 'A3', 'C4']","[32, 35, 37, 40]"
D,diminished,[],"['F3', 'G#3', 'B3', 'D4']","[33, 36, 39, 42]"
C,major-sixth,[],"['C3', 'E3', 'G3', 'A3', 'C4']","[28, 32, 35, 37, 40]"
G,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['G2', 'F3', 'G#3', 'B3', 'D4']","[23, 33, 36, 39, 42]"
C,major-sixth,[],"['C3', 'G3', 'A3', 'C4', 'E4']","[28, 35, 37, 40, 44]"
G,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['G2', 'G#3', 'B3', 'D4', 'F4']","[23, 36, 39, 42, 45]"
C,major-sixth,[],"['C3', 'A3', 'C4', 'E4', 'G4']","[28, 37, 40, 44, 47]"
G,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['G2', 'B3', 'D4', 'F4', 'G#4']","[23, 39, 42, 45, 48]"
C,major-sixth,[],"['C3', 'C4', 'E4', 'G4', 'A4']","[28, 40, 44, 47, 49]"
G,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['G2', 'D4', 'F4', 'G#4', 'B4']","[23, 42, 45, 48, 51]"
C,major-sixth,[],"['C3', 'E4', 'G4', 'A4', 'C5']","[28, 44, 47, 49, 52]"
D,other,[],"['B3', 'D4', 'F4', 'Ab4']","[39, 42, 45, 48]"
G,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['G2', 'B3', 'D4', 'F4', 'Ab4']","[23, 39, 42, 45, 48]"
C,major-sixth,[],"['C3', 'E3', 'G3', 'A3', 'C4']","[28, 32, 35, 37, 40]"
C,major-sixth,[],"['A2', 'E3', 'G3', 'C4']","[25, 32, 35, 40]"
C,major-sixth,[],"['E3', 'G3', 'A3', 'C4']","[32, 35, 37, 40]"
C,major-sixth,[],"['A2', 'E3', 'G3', 'C4']","[25, 32, 35, 40]"
D,other,[],"['F3', 'Ab3', 'B3', 'D4']","[33, 36, 39, 42]"
D,other,[],"['B2', 'F3', 'Ab3', 'D4']","[27, 33, 36, 42]"
C,major-sixth,[],"['E3', 'G3', 'A3', 'C4']","[32, 35, 37, 40]"
D,other,[],"['F3', 'Ab3', 'B3', 'D4']","[33, 36, 39, 42]"
C,major-sixth,[],"['G3', 'A3', 'C4', 'E4']","[35, 37, 40, 44]"
D,other,[],"['F3', 'Ab3', 'B3', 'D4']","[33, 36, 39, 42]"
C,major-sixth,[],"['E3', 'G3', 'A3', 'C4']","[32, 35, 37, 40]"
C,major-sixth,[],"['A2', 'E3', 'G3', 'A3', 'C4']","[25, 32, 35, 37, 40]"
D,other,[],"['B2', 'F3', 'Ab3', 'B3', 'D4']","[27, 33, 36, 39, 42]"
C,major-sixth,[],"['C3', 'G3', 'A3', 'C4', 'E4']","[28, 35, 37, 40, 44]"
D,other,[],"['B2', 'F3', 'Ab3', 'B3', 'D4']","[27, 33, 36, 39, 42]"
C,major-sixth,[],"['A2', 'E3', 'G3', 'A3', 'C4']","[25, 32, 35, 37, 40]"
C,major-sixth,[],"['C4', 'E4', 'G4', 'A4']","[40, 44, 47, 49]"
Ab,major-sixth,[],"['F3', 'Ab3', 'C4', 'Eb4']","[33, 36, 40, 43]"
Ab,major-sixth,[],"['Ab2', 'F3', 'Ab3', 'Eb4']","[24, 33, 36, 43]"
A,minor-seventh,[],"['C4', 'E4', 'G4', 'A4']","[40, 44, 47, 49]"
C,other,[],"['B4', 'D5', 'F5', 'G#5']","[51, 54, 57, 60]"
A,minor-seventh,[],"['G3', 'C4', 'E4', 'A4']","[35, 40, 44, 49]"
C,other,[],"['F4', 'B4', 'D5', 'G#5']","[45, 51, 54, 60]"
A,minor-seventh,[],"['G4', 'A4', 'C5', 'E5']","[47, 49, 52, 56]"
A,minor-seventh,[],"['C4', 'G4', 'A4', 'E5']","[40, 47, 49, 56]"
C,dominant,[],"['E3', 'G3', 'Bb3', 'C4']","[32, 35, 38, 40]"
D,other,[],"['F3', 'Ab3', 'B3', 'D4']","[33, 36, 39, 42]"
C,dominant,[],"['G3', 'Bb3', 'C4', 'E4']","[35, 38, 40, 44]"
D,other,[],"['Ab3', 'B3', 'D4', 'F4']","[36, 39, 42, 45]"
C,dominant,[],"['Bb3', 'C4', 'E4', 'G4']","[38, 40, 44, 47]"
D,other,[],"['C4', 'Eb4', 'F#4', 'A4']","[40, 43, 46, 49]"
C,dominant,[],"['C4', 'E4', 'G4', 'Bb4']","[40, 44, 47, 50]"
D,other,[],"['D4', 'F4', 'Ab4', 'B4']","[42, 45, 48, 51]"
C,dominant,[],"['E4', 'G4', 'Bb4', 'C5']","[44, 47, 50, 52]"
C,dominant,[],"['Bb2', 'E3', 'G3', 'C4']","[26, 32, 35, 40]"
D,other,[],"['B2', 'F3', 'Ab3', 'D4']","[27, 33, 36, 42]"
C,dominant,[],"['C3', 'G3', 'Bb3', 'E4']","[28, 35, 38, 44]"
