label,notes
dominant,"[20, 28, 35, 40]"
major,"[28, 35, 38, 40, 43]"
dominant,"[28, 38, 47, 50, 56]"
minor-11th,"[28, 38, 43, 45, 49]"
dominant-ninth,"[28, 38, 54, 56, 61]"
major,"[23, 34, 37, 39, 44]"
diminished-seventh,"[28, 38, 43, 46]"
minor-seventh,"[28, 38, 47, 52, 55]"
minor-seventh,"[28, 38, 40, 43]"
dominant-13th,"[28, 38, 42, 44, 49]"
diminished-seventh,"[28, 37, 46, 48]"
minor,"[28, 35, 38, 40, 43]"
diminished-seventh,"[28, 49, 52, 58]"
minor-seventh,"[28, 38, 47, 52, 55]"
minor-seventh,"[28, 38, 40, 43]"
dominant-13th,"[28, 38, 42, 44, 49]"
dominant,"[28, 38, 44, 47]"
major,"[28, 44, 47, 52]"
dominant,"[28, 35, 38]"
major,"[28, 40, 44]"
dominant,"[28, 38, 42, 44, 49, 52]"
major,"[28, 39, 44, 51, 56]"
dominant,"[28, 38, 42, 44, 49]"
major,"[28, 35, 39, 42, 44, 47]"
minor-seventh,"[28, 35, 43, 45, 50, 54]"
dominant,"[28, 38, 38, 42, 44, 47]"
major,"[28, 39, 47, 51, 59]"
dominant,"[28, 38, 42, 44, 49, 52]"
major,"[16, 32, 35, 39, 44]"
dominant,"[28, 38, 42, 44, 49]"
major,"[28, 35, 39, 42, 44, 47]"
minor-seventh,"[28, 43, 47, 50, 54]"
dominant,"[21, 28, 32, 35, 37, 40]"
major,"[28, 35, 39, 42, 44, 47]"
minor-seventh,"[28, 35, 43, 45, 50, 54]"
dominant,"[33, 44, 52, 56, 59, 64]"
major,"[28, 39, 47, 51, 54, 59]"
minor-seventh,"[28, 35, 43, 45, 50, 54]"
dominant,"[33, 40, 44, 47, 49, 52]"
major,"[28, 35, 39, 42, 44, 47]"
minor-seventh,"[28, 35, 43, 45, 50, 54]"
dominant,"[21, 28, 44, 47, 49, 52]"
major,"[28, 35, 51, 54, 56, 59]"
minor-seventh,"[40, 43, 47, 50, 54, 57]"
dominant,"[28, 38, 42, 44, 49, 52]"
dominant,"[28, 38, 42, 44, 49, 52]"
major,"[28, 39, 44, 51, 56]"
dominant,"[28, 38, 42, 44, 49]"
major,"[28, 35, 39, 42, 44, 47]"
minor-seventh,"[28, 35, 43, 45, 50, 54]"
dominant,"[28, 38, 38, 42, 44, 47]"
major,"[28, 39, 47, 51, 59]"
dominant,"[28, 38, 42, 44, 49, 52]"
major,"[16, 32, 35, 39, 44]"
dominant,"[28, 38, 42, 44, 49]"
major,"[28, 35, 39, 42, 44, 47]"
minor-seventh,"[28, 43, 47, 50, 54]"
dominant,"[21, 28, 32, 35, 37, 40]"
major,"[28, 35, 39, 42, 44, 47]"
minor-seventh,"[28, 35, 43, 45, 50, 54]"
dominant,"[33, 44, 52, 56, 59, 64]"
major,"[28, 39, 47, 51, 54, 59]"
minor-seventh,"[28, 35, 43, 45, 50, 54]"
dominant,"[33, 40, 44, 47, 49, 52]"
major,"[28, 35, 39, 42, 44, 47]"
minor-seventh,"[28, 35, 43, 45, 50, 54]"
dominant,"[21, 28, 44, 47, 49, 52]"
major,"[28, 35, 51, 54, 56, 59]"
minor-seventh,"[40, 43, 47, 50, 54, 57]"
dominant,"[28, 38, 42, 44, 49, 52]"
minor-seventh,"[31, 35, 37, 40, 43]"
minor-seventh,"[31, 35, 38, 40, 43]"
dominant,"[32, 35, 38, 41, 44]"
major-seventh,"[32, 35, 39, 42, 44]"
major-seventh,"[32, 35, 37, 40, 44]"
half-diminished,"[19, 22, 26, 29, 31]"
dominant,"[32, 35, 38, 41, 44]"
minor-seventh,"[19, 23, 26, 28, 31]"
diminished-seventh,"[28, 31, 34, 37, 40]"
minor-seventh,"[28, 31, 35, 38, 40]"
dominant,"[33, 35, 38, 41, 45]"
minor-seventh,"[31, 35, 38, 40, 43]"
dominant,"[26, 29, 32, 35, 38]"
minor-seventh,"[28, 31, 35, 38, 40]"
dominant,"[30, 33, 35, 38, 42]"
major-seventh,"[33, 36, 39, 42, 45]"
dominant-13th,"[28, 38, 44, 49, 54]"
dominant-13th,"[26, 32, 37, 42]"
dominant,"[28, 38, 44, 50]"
major,"[28, 44, 47, 51]"
major-seventh,"[28, 42, 44]"
minor-seventh,"[28, 40, 43]"
minor-seventh,"[28, 38, 40, 43]"
major-seventh,"[28, 39, 42, 44]"
minor-seventh,"[28, 38, 42, 43]"
minor-seventh,"[28, 35, 38, 43]"
minor-seventh,"[28, 35, 38, 43]"
suspended-fourth,"[28, 30, 33, 38]"
dominant-ninth,"[30, 32, 38]"
major-seventh,"[28, 35, 39, 44]"
minor-seventh,"[28, 35, 38, 43]"
minor,"[28, 38, 40, 41, 43]"
major-seventh,"[28, 44, 47]"
minor-seventh,"[28, 38, 47, 54, 57]"
major-seventh,"[28, 39, 44, 47]"
minor-seventh,"[28, 38, 42]"
minor-seventh,"[28, 38, 43, 47]"
dominant,"[28, 38, 44, 49]"
minor-seventh,"[28, 38, 47, 50, 55]"
suspended-fourth,"[28, 50, 54, 57]"
major-ninth,"[28, 39, 42, 44]"
dominant-ninth,"[28, 38, 42, 44, 50]"
major-seventh,"[16, 36, 44]"
dominant,"[28, 38, 44, 48]"
dominant-13th,"[28, 38, 44, 49, 54]"
dominant,"[16, 26, 32, 37, 43]"
dominant-13th,"[16, 26, 32, 37, 44]"
dominant,"[28, 44, 50]"
major,"[28, 44, 47, 51]"
minor,"[33, 55, 59]"
minor-ninth,"[16, 23, 42, 43]"
diminished-seventh,"[28, 37, 43, 48]"
minor-seventh,"[28, 38, 43]"
minor-ninth,"[28, 38, 54]"
dominant,"[28, 38, 62]"
dominant,"[16, 28, 52, 56, 59, 59, 62]"
major,"[16, 28, 52, 56, 59, 64]"
major,"[16, 28, 40, 44, 47, 52]"
major,"[16, 28, 56, 59, 64]"
minor,"[28, 43, 47, 52]"
minor,"[40, 43, 47]"
minor,"[16, 28, 47]"
major,"[16, 28, 52]"
minor,"[16, 28, 52]"
major,"[16, 28, 40, 44, 47, 52]"
minor,"[16, 40, 43, 47, 52]"
dominant,"[28, 32, 35, 38]"
minor,"[16, 40, 43, 47, 52]"
diminished,"[24, 52, 58]"
minor,"[16, 28, 40]"
major,"[16, 28, 44]"
minor,"[25, 37, 55]"
major,"[16, 28, 49]"
minor,"[23, 35, 59]"
major,"[25, 37, 64]"
major,"[16, 28, 59]"
major,"[23, 35, 67]"
minor,"[16, 40, 43, 47, 52]"
half-diminished,"[38, 43, 50]"
suspended-fourth,"[29, 53, 57]"
dominant,"[28, 52, 56]"
dominant,"[33, 40, 47, 50, 53, 62]"
minor,"[26, 35, 40, 43, 47, 55]"
minor-seventh,"[16, 35, 38]"
dominant,"[28, 40, 44]"
dominant,"[26, 30, 38]"
suspended-fourth,"[29, 41, 45]"
dominant,"[28, 40, 44]"
suspended-fourth,"[17, 29, 33]"
dominant,"[28, 40, 44]"
suspended-fourth,"[23, 42, 45]"
dominant,"[28, 40, 44]"
major-seventh,"[33, 37, 45]"
half-diminished,"[38, 43, 50]"
suspended-fourth,"[29, 53, 57]"
dominant,"[28, 52, 56]"
dominant,"[33, 40, 47, 50, 53, 62]"
minor,"[26, 35, 40, 43, 47, 55]"
minor-seventh,"[16, 35, 38]"
dominant,"[28, 40, 44]"
dominant,"[26, 30, 38]"
suspended-fourth,"[29, 41, 45]"
dominant,"[28, 40, 44]"
suspended-fourth,"[29, 41, 45]"
dominant,"[28, 40, 44]"
minor-seventh,"[28, 47, 50]"
dominant,"[28, 40, 44]"
major-seventh,"[33, 37, 45]"
half-diminished,"[38, 43, 50]"
suspended-fourth,"[29, 53, 57]"
dominant,"[28, 52, 56]"
dominant,"[21, 28, 35, 38, 41, 50]"
minor,"[26, 35, 40, 43, 47, 55]"
minor-seventh,"[28, 47, 50]"
dominant,"[28, 40, 44]"
dominant,"[26, 30, 38]"
suspended-fourth,"[29, 41, 45]"
dominant,"[28, 40, 44]"
suspended-fourth,"[29, 41, 45]"
minor-seventh,"[28, 47, 50]"
dominant,"[28, 40, 44]"
major-seventh,"[33, 37, 45]"
minor-seventh,"[16, 31, 45, 48, 57]"
dominant,"[28, 42, 44, 47, 56]"
dominant,"[28, 41, 44, 47, 56]"
minor-sixth,"[28, 37, 43, 47, 55]"
major-seventh,"[28, 47, 51, 56, 58]"
augmented-seventh,"[28, 44, 47, 50, 55]"
major,"[25, 32, 36, 38, 41]"
minor-seventh,"[28, 38, 42, 43, 47]"
augmented-seventh,"[36, 48, 50, 56, 58]"
minor-seventh,"[28, 35, 38, 43, 45]"
major,"[28, 35, 41, 44, 49]"
minor,"[28, 34, 38, 43, 46]"
other,"[22, 34, 38, 39, 43]"
major,"[18, 21, 25, 30]"
other,"[27, 34, 38, 43]"
other,"[21, 22, 25, 31, 34]"
major-seventh,"[25, 30, 32, 35, 39]"
major,"[28, 32, 36, 38, 43]"
suspended-fourth,"[28, 35, 37, 42, 45]"
minor-seventh,"[28, 35, 38, 42, 43]"
major,"[38, 44, 48]"
power,"[25, 40, 43, 46, 49]"
minor-seventh,"[28, 43, 47, 50, 54]"
minor-seventh,"[28, 42, 47, 50, 55]"
major-minor,"[31, 40, 43, 47, 51]"
major-seventh,"[28, 47, 51, 54, 58]"
minor,"[31, 53, 55, 58, 62]"
major,"[28, 44, 48, 50, 55]"
major,"[22, 32, 36, 38, 41]"
minor-seventh,"[28, 38, 42, 43, 47]"
major,"[32, 41, 44, 47, 50, 52]"
minor-13th,"[28, 37, 40, 43, 45]"
major,"[28, 35, 41, 44, 49]"
minor,"[28, 34, 38, 43, 46]"
dominant-13th,"[28, 40, 44, 47, 49]"
minor,"[26, 34, 38, 43]"
major-seventh,"[28, 35, 39, 42, 44]"
minor,"[28, 31, 34, 40, 43]"
dominant-11th,"[28, 33, 35, 40, 44]"
major,"[28, 32, 36, 38, 43]"
major,"[28, 36, 39, 40, 44]"
minor-seventh,"[28, 35, 38, 43]"
minor,"[35, 38, 42, 43]"
major,"[28, 34, 38, 44, 48]"
minor-13th,"[23, 26, 31, 37, 42]"
suspended-fourth,"[33, 35, 38, 40]"
power,"[30, 42, 46, 50, 55]"
minor,"[28, 43, 46, 50, 54]"
major-seventh,"[28, 47, 51, 54, 56, 58]"
major-seventh,"[28, 40, 44, 47, 51]"
major,"[24, 32, 36, 41]"
minor-13th,"[28, 37, 40, 42, 43, 47]"
major-seventh,"[28, 44, 51, 58, 58]"
dominant,"[28, 38, 44, 50, 55, 55]"
minor-seventh,"[16, 38, 43, 47, 47]"
dominant,"[17, 39, 44, 48, 48]"
minor-seventh,"[28, 38, 43, 45, 45]"
major-seventh,"[28, 39, 46, 46]"
dominant,"[28, 38, 44, 50, 55, 55]"
minor-seventh,"[16, 31, 38, 45, 45]"
dominant,"[28, 32, 38, 48, 48]"
minor-seventh,"[28, 43, 50, 54, 54]"
minor-seventh,"[28, 43, 50, 55, 55]"
major-seventh,"[28, 35, 42, 44, 51, 58, 58]"
dominant,"[28, 38, 43, 44, 48, 55, 55]"
minor-seventh,"[16, 38, 43, 47, 47]"
dominant,"[17, 39, 44, 48, 48]"
minor-seventh,"[28, 31, 35, 38, 42, 45, 45]"
major-seventh,"[28, 32, 35, 39, 40, 44, 46]"
dominant,"[26, 32, 36, 40, 43, 43]"
minor-seventh,"[28, 31, 35, 38, 42, 45, 45]"
dominant,"[28, 32, 38, 43, 48, 48]"
minor-seventh,"[28, 35, 43, 47, 50, 54, 54]"
minor-seventh,"[28, 35, 42, 43, 50, 55, 55]"
major-seventh,"[28, 35, 42, 44, 51, 58, 58]"
dominant,"[28, 38, 43, 44, 48, 55, 55]"
minor-seventh,"[28, 31, 35, 38, 42, 45, 45]"
dominant-13th,"[28, 38, 41, 44, 49]"
dominant-ninth,"[28, 38, 42, 44, 46]"
dominant-ninth,"[28, 35, 42, 45, 49, 52]"
dominant-13th,"[28, 38, 44, 49, 54]"
minor-seventh,"[30, 40, 45, 50]"
minor-ninth,"[28, 31, 38, 42, 47]"
major-ninth,"[32, 39, 42, 47]"
suspended-fourth,"[28, 38, 45, 49, 54]"
minor-seventh,"[28, 36, 38, 43]"
minor-seventh,"[28, 38, 47, 50, 55]"
major-seventh,"[28, 39, 47, 51, 56]"
dominant-13th,"[28, 38, 44, 49, 56]"
dominant,"[28, 38, 47, 50, 55, 55]"
dominant-13th,"[28, 38, 44, 49, 56]"
minor-seventh,"[28, 38, 47, 50, 55]"
minor-seventh,"[28, 38, 47, 50, 55]"
dominant-13th,"[28, 38, 43]"
minor-seventh,"[28, 38, 43, 46]"
dominant-13th,"[28, 38, 41, 44, 49]"
dominant-13th,"[28, 38, 41, 44, 49]"
minor-seventh,"[16, 28, 40]"
dominant-ninth,"[28, 38, 42, 44, 46]"
dominant-ninth,"[28, 42, 45, 49, 52]"
suspended-fourth,"[28, 38, 54, 58]"
major-seventh,"[28, 35, 39, 44]"
dominant,"[28, 38, 41, 44, 50]"
dominant,"[28, 38, 44, 48, 55]"
minor-seventh,"[28, 38, 40, 43]"
minor-seventh,"[28, 38, 40, 43]"
minor-seventh,"[28, 38, 40, 43]"
dominant,"[28, 38, 41, 44, 47]"
minor-seventh,"[28, 35, 38, 43]"
major-seventh,"[28, 35, 39, 44]"
major-seventh,"[28, 35, 39, 44]"
suspended-fourth,"[28, 47, 50, 55]"
major-seventh,"[28, 35, 39, 44]"
minor-ninth,"[28, 34, 38, 43]"
minor-seventh,"[28, 35, 38, 43]"
major,"[28, 38, 44, 49, 56]"
major,"[28, 32, 35]"
major-sixth,"[28, 37, 44, 47]"
dominant,"[28, 38, 44, 47]"
minor,"[16, 23, 31, 39]"
dominant,"[28, 38, 44]"
diminished-seventh,"[28, 37, 43, 46]"
half-diminished,"[28, 31, 38, 46]"
dominant,"[23, 26, 33, 41]"
dominant,"[28, 38, 44]"
minor-seventh,"[28, 31, 38, 50]"
diminished-seventh,"[28, 31, 37, 48]"
minor-seventh,"[28, 31, 38, 45]"
minor-seventh,"[38, 43, 47]"
dominant,"[26, 28, 32]"
major-seventh,"[28, 39, 44, 47]"
dominant,"[21, 32, 37, 40]"
dominant,"[28, 38, 40, 42, 44, 48]"
major-sixth,"[16, 35, 37, 40]"
minor,"[35, 38, 40]"
minor,"[35, 38, 40]"
major,"[23, 44, 47]"
none,"[33, 37, 42]"
minor,"[31, 35, 40]"
minor,"[31, 35, 40]"
major,"[32, 35, 40]"
major,"[20, 28, 35]"
major,"[32, 42, 47]"
minor,"[28, 31, 35]"
dominant-ninth,"[32, 38, 42, 46]"
half-diminished,"[34, 40, 43, 50]"
major,"[28, 32, 35]"
dominant,"[28, 38, 44, 48]"
minor,"[28, 31, 39]"
dominant,"[28, 38, 44]"
diminished-seventh,"[28, 37, 43, 46]"
half-diminished,"[28, 31, 38, 46]"
dominant,"[23, 26, 33, 41]"
dominant,"[28, 38, 44]"
minor-seventh,"[28, 38, 43, 50]"
diminished-seventh,"[28, 37, 43, 48]"
minor-seventh,"[28, 31, 38, 45]"
dominant-ninth,"[28, 38, 42, 46]"
minor-seventh,"[38, 43, 47]"
dominant,"[35, 38, 41, 47]"
major-sixth,"[28, 35, 44, 49, 52]"
dominant-13th,"[28, 38, 42, 46, 49]"
dominant-13th,"[28, 38, 42, 46, 49]"
dominant-ninth,"[28, 38, 42, 44, 49]"
dominant-13th,"[28, 32, 37]"
minor-seventh,"[28, 31, 35, 40]"
major-seventh,"[25, 35, 39, 44]"
major-seventh,"[25, 35, 39, 44]"
dominant,"[25, 35, 39, 44]"
major-seventh,"[28, 35, 39, 44]"
minor-seventh,"[28, 35, 38, 43]"
major,"[30, 35, 40, 44]"
major,"[26, 32, 37, 40]"
half-diminished,"[28, 50, 55, 58]"
minor-sixth,"[28, 50, 55, 59]"
minor-seventh,"[16, 43, 47, 50]"
dominant-13th,"[28, 38, 44, 49, 54]"
dominant-13th,"[26, 32, 37, 40]"
minor-ninth,"[28, 38, 42, 45]"
half-diminished,"[28, 34, 37, 43]"
minor-seventh,"[31, 35, 38, 43]"
major-seventh,"[28, 35, 39, 44]"
dominant,"[28, 41, 44]"
minor-seventh,"[28, 35, 38, 43]"
dominant,"[28, 35, 39, 44]"
major-seventh,"[28, 39, 44, 47, 51]"
dominant,"[26, 35, 40, 44]"
major-seventh,"[28, 35, 39, 44]"
dominant,"[28, 41, 44]"
major-seventh,"[16, 27, 35, 39]"
major-seventh,"[16, 32, 35, 40]"
dominant-ninth,"[30, 32, 35]"
dominant,"[28, 38, 41, 44, 49]"
minor-seventh,"[31, 35, 38, 43]"
minor-seventh,"[28, 35, 38, 44]"
minor-seventh,"[37, 43, 46, 52]"
half-diminished,"[28, 34, 37, 43]"
half-diminished,"[28, 34, 37, 43]"
minor-seventh,"[28, 35, 36, 43]"
minor-seventh,"[28, 34, 37, 43]"
half-diminished,"[28, 34, 37, 43]"
minor-seventh,"[28, 35, 38, 40, 43]"
suspended-fourth,"[28, 38, 42, 45, 47]"
none,"[31, 41, 43, 46]"
minor-seventh,"[28, 38, 40, 43]"
half-diminished,"[28, 37, 40, 43]"
minor-seventh,"[28, 34, 38, 43]"
major-seventh,"[29, 35, 39, 44]"
dominant-ninth,"[32, 38, 42, 47]"
dominant-ninth,"[32, 38, 42, 47]"
minor-ninth,"[16, 42, 43, 50]"
dominant-13th,"[23, 38, 49, 53, 56]"
dominant,"[28, 38, 47, 52, 56]"
dominant,"[28, 29, 32, 36]"
dominant-ninth,"[28, 38, 42, 46]"
major-seventh,"[28, 39, 47, 51, 56]"
major-seventh,"[28, 39, 47, 51, 56]"
dominant,"[28, 39, 47, 51, 56]"
major-seventh,"[28, 35, 39, 44]"
minor-seventh,"[28, 35, 38, 43]"
minor-seventh,"[28, 34, 38, 43]"
minor-seventh,"[28, 34, 38, 43]"
minor-seventh,"[28, 38, 43, 46]"
minor-sixth,"[28, 37, 43, 47]"
minor-seventh,"[40, 55, 59, 62]"
minor-seventh,"[40, 52, 55, 60]"
half-diminished,"[38, 43, 46]"
minor-seventh,"[40, 54, 57]"
diminished,"[32, 42, 47]"
minor-seventh,"[40, 50, 52, 55]"
major-seventh,"[28, 59, 63, 68]"
dominant-13th,"[28, 56, 61, 65, 68]"
minor-seventh,"[28, 55, 59, 67]"
dominant,"[40, 40, 44, 46]"
major-seventh,"[28, 35, 39, 44]"
dominant-ninth,"[28, 35, 42, 44]"
major-seventh,"[28, 47, 51, 56]"
major-seventh,"[28, 35, 39, 44]"
dominant-ninth,"[28, 35, 42, 44]"
major-seventh,"[16, 35, 39, 44]"
dominant,"[32, 38, 42]"
major,"[30, 37, 40]"
dominant,"[32, 38, 42]"
major,"[30, 37, 40]"
dominant,"[37, 39, 42]"
major,"[37, 44, 47]"
dominant,"[32, 38, 42]"
dominant,"[24, 32, 34]"
dominant,"[32, 38, 42]"
none,"[33, 39, 43]"
dominant,"[31, 37, 41]"
dominant,"[30, 36, 40]"
dominant,"[34, 38, 42]"
major,"[30, 35, 39]"
dominant,"[34, 38, 42]"
major,"[30, 35, 39]"
dominant,"[29, 33, 37]"
major,"[33, 37, 42]"
dominant,"[32, 38, 42]"
dominant,"[24, 29, 34]"
dominant,"[32, 38, 42]"
dominant,"[31, 37, 41]"
dominant,"[30, 36, 40]"
none,"[33, 39, 43]"
major-seventh,"[20, 27, 28, 35]"
major-seventh,"[20, 27, 28, 37]"
major-seventh,"[21, 27, 28, 35]"
major-seventh,"[21, 27, 28, 35]"
minor-seventh,"[28, 34, 38, 45]"
dominant,"[26, 32, 35, 40]"
minor-seventh,"[19, 26, 28, 33]"
dominant,"[26, 32, 35, 40]"
minor-seventh,"[25, 28, 30, 34]"
dominant,"[35, 40, 46, 50]"
dominant,"[30, 37, 38, 44]"
major,"[23, 30, 32, 39]"
dominant,"[38, 44, 47, 52]"
major,"[23, 30, 31, 40]"
dominant,"[23, 27, 28, 35]"
major,"[27, 32, 35, 42]"
dominant,"[26, 32, 35, 40]"
dominant,"[30, 36, 41, 44]"
dominant,"[29, 35, 40, 43]"
dominant,"[27, 33, 38, 41]"
none,"[19, 29, 31, 43]"
major-seventh,"[28, 39, 42, 44, 47]"
dominant,"[28, 32, 38, 42, 46]"
minor-seventh,"[28, 33, 38, 40]"
dominant,"[16, 32, 36, 38, 42]"
minor-seventh,"[28, 38, 42, 43, 47]"
minor-seventh,"[28, 33, 38, 42, 47, 52]"
dominant,"[28, 42, 44, 50]"
minor-seventh,"[28, 35, 42, 43, 50, 55]"
dominant,"[28, 32, 38, 41, 49]"
minor-seventh,"[28, 38, 42, 43, 46, 52]"
dominant,"[28, 32, 38, 41, 48, 52]"
minor-seventh,"[16, 23, 30, 31, 38, 43]"
minor-seventh,"[28, 31, 38, 42]"
dominant,"[28, 38, 42, 44, 49, 52]"
minor-seventh,"[28, 31, 38, 42]"
dominant,"[28, 38, 42, 44, 47]"
minor-seventh,"[28, 35, 42, 43, 50, 55]"
dominant,"[28, 33, 38, 42, 49]"
major-seventh,"[28, 39, 42, 44, 47]"
dominant,"[28, 32, 38, 42, 46]"
minor-seventh,"[28, 33, 38, 40]"
dominant,"[16, 32, 36, 38, 42]"
minor-seventh,"[28, 38, 42, 43, 47]"
minor-seventh,"[28, 31, 38, 42, 47, 52]"
dominant,"[28, 38, 44, 50]"
minor-seventh,"[28, 35, 42, 43, 50, 55]"
minor-seventh,"[28, 35, 42, 43, 50, 57]"
minor-seventh,"[28, 35, 42, 43, 50, 57]"
dominant,"[28, 32, 38, 41, 48, 53]"
minor-seventh,"[16, 23, 30, 31, 38, 43]"
dominant,"[28, 38, 42, 44, 49]"
minor-seventh,"[28, 38, 42, 43]"
dominant,"[28, 38, 44, 49, 54, 59]"
minor-seventh,"[28, 35, 42, 43, 50, 55]"
dominant,"[35, 42, 49, 50, 57, 62]"
dominant,"[16, 26, 32, 37, 42]"
minor-seventh,"[28, 35, 42, 43, 50, 55]"
dominant,"[35, 42, 49, 50, 57, 62]"
dominant,"[16, 26, 32, 37, 42]"
minor-seventh,"[28, 35, 42, 43, 50, 55]"
dominant,"[28, 32, 38, 42, 46, 49]"
major-seventh,"[28, 32, 37, 42, 47, 52]"
major-seventh,"[23, 27, 35]"
major-seventh,"[28, 35, 51, 59]"
suspended-fourth,"[28, 42, 50, 59]"
dominant-ninth,"[16, 32, 38, 42, 46]"
major-seventh,"[16, 37, 39, 44]"
diminished-seventh,"[31, 38, 42, 58]"
dominant,"[32, 36, 50]"
minor-ninth,"[31, 38, 42, 59]"
dominant,"[26, 32, 36, 50]"
dominant,"[28, 32, 38, 43, 47, 50, 57]"
minor-seventh,"[28, 50, 59]"
minor-seventh,"[16, 23, 42, 50]"
major-seventh,"[16, 23, 39]"
major-seventh,"[16, 23, 47, 56]"
minor-seventh,"[28, 35, 43, 47]"
minor,"[26, 35, 40, 47, 55]"
minor,"[28, 38, 43, 47, 55]"
dominant,"[20, 30, 35, 39, 47]"
dominant,"[28, 38, 45, 49]"
major-seventh,"[16, 32, 37, 39, 44]"
dominant-ninth,"[34, 38, 42, 49]"
major-seventh,"[28, 35, 44, 49, 51, 56]"
dominant,"[28, 38, 44, 46, 49]"
minor-seventh,"[28, 38, 43, 47, 50, 55]"
diminished,"[28, 37, 43, 46, 55]"
minor-seventh,"[28, 38, 43, 54]"
dominant,"[28, 33, 38, 42]"
major-seventh,"[28, 35, 42, 44, 51, 52]"
suspended-fourth,"[28, 33, 38, 45]"
dominant,"[28, 32, 38, 44, 47]"
major-seventh,"[28, 39, 44]"
minor,"[28, 31, 35, 38, 47, 49]"
dominant,"[28, 50, 56, 59]"
major-seventh,"[28, 32, 42, 49]"
dominant,"[28, 44, 49, 50]"
major,"[20, 30, 42, 47]"
minor-seventh,"[28, 35, 38, 43, 54, 62]"
minor-seventh,"[35, 39, 47]"
suspended-fourth,"[28, 38, 45, 52]"
dominant-ninth,"[28, 38, 45, 52]"
dominant-ninth,"[28, 38, 42, 47]"
major-seventh,"[28, 39, 44, 51, 56]"
major-sixth,"[28, 37, 44, 49, 56]"
dominant,"[28, 38, 49, 56]"
dominant,"[24, 36, 44]"
major-sixth,"[30, 42, 49]"
major-seventh,"[27, 39, 44]"
minor,"[28, 43, 47]"
major-seventh,"[28, 30, 44]"
dominant,"[28, 44, 50, 53, 60]"
dominant-13th,"[28, 38, 44, 49, 54]"
suspended-fourth,"[28, 33, 38, 45]"
dominant,"[28, 32, 47]"
major-seventh,"[20, 27, 35, 39, 40]"
major-seventh,"[28, 35, 39, 44]"
minor-seventh,"[28, 35, 38, 43]"
minor-seventh,"[28, 35, 38, 43]"
major-seventh,"[28, 35, 39, 44]"
minor-seventh,"[35, 38, 40, 43, 45, 57]"
suspended-fourth,"[28, 33, 35, 38, 42, 54]"
dominant,"[28, 32, 35, 38, 44, 56]"
major,"[28, 52, 59, 64]"
dominant,"[32, 36, 40]"
dominant-ninth,"[32, 38, 42]"
major,"[20, 42, 47]"
major,"[24, 36, 44]"
minor-ninth,"[28, 42, 43]"
minor-11th,"[28, 43, 46]"
dominant,"[29, 38, 49, 52]"
dominant,"[32, 36, 40, 44]"
major-seventh,"[28, 47, 51, 58]"
minor-seventh,"[28, 50, 55]"
minor-ninth,"[21, 26, 35, 42, 45]"
dominant-ninth,"[28, 32, 42, 50, 52]"
dominant,"[26, 32, 38, 40]"
dominant,"[32, 38, 48, 52]"
suspended-fourth,"[28, 33, 35, 38, 49, 56]"
major-sixth,"[32, 35, 37, 42, 49]"
other,"[28, 31, 34, 37, 43]"
major-seventh,"[23, 27, 28, 32, 35]"
dominant,"[32, 36, 40]"
minor,"[31, 35, 40, 43]"
suspended-fourth,"[33, 38, 40, 44]"
dominant-ninth,"[26, 32, 35, 38]"
major,"[20, 30, 35, 44]"
dominant-ninth,"[28, 38, 42, 49, 52]"
dominant,"[28, 49, 50, 54]"
major-seventh,"[16, 44, 47, 52]"
dominant,"[32, 38, 40]"
suspended-fourth,"[28, 33, 35, 40]"
major-seventh,"[27, 28, 35, 44]"
minor-sixth,"[31, 38, 42, 49]"
dominant,"[26, 33, 37, 47]"
major-seventh,"[35, 39, 40, 44, 49]"
dominant,"[26, 32, 37, 40]"
dominant,"[26, 32, 37, 40]"
dominant-ninth,"[26, 32, 37, 40]"
dominant,"[32, 39, 40, 47]"
major-seventh,"[30, 32, 39, 44, 56]"
minor-sixth,"[31, 35, 38, 42, 49, 61]"
dominant,"[26, 30, 32, 37, 47, 59]"
major-sixth,"[32, 37, 39, 42, 49, 61]"
dominant-ninth,"[38, 42, 44, 49, 58]"
minor,"[26, 30, 31, 35, 52]"
dominant,"[33, 37, 38, 42, 59]"
dominant,"[26, 32, 37, 54]"
minor,"[26, 31, 35, 47, 50]"
dominant,"[32, 38, 42, 54, 59]"
major-sixth,"[28, 32, 35, 47, 52]"
dominant-ninth,"[32, 35, 38, 42, 54]"
major-seventh,"[27, 28, 32, 35, 52]"
power,"[28, 32, 36, 52]"
major-seventh,"[39, 40, 44, 47, 51, 58]"
dominant-ninth,"[38, 40, 44, 49, 54]"
dominant,"[23, 28, 32, 38, 43]"
minor-ninth,"[28, 35, 40, 42, 43]"
dominant,"[28, 40, 47, 56]"
major,"[28, 35, 40, 44, 52]"
power,"[28, 35, 40, 44, 52]"
major-seventh,"[35, 39, 40, 44, 49, 58]"
dominant,"[35, 38, 40, 44, 49, 56]"
suspended-fourth,"[28, 35, 40, 45]"
major,"[26, 32, 37, 40]"
dominant,"[26, 32, 37, 40]"
dominant,"[26, 32, 37, 40]"
dominant-ninth,"[26, 32, 37, 40]"
dominant,"[32, 38, 42, 48, 52]"
suspended-fourth,"[28, 33, 38, 47, 56]"
dominant,"[28, 32, 36, 48]"
major-sixth,"[35, 37, 42, 54, 61]"
other,"[28, 34, 37, 43, 49]"
minor,"[28, 31, 35, 43]"
dominant,"[23, 26, 32, 35, 40]"
