label,notes
dominant,"[39, 42, 49, 53]"
major,"[37, 42, 47, 52]"
dominant,"[37, 42, 47, 52]"
dominant,"[29, 35, 40, 44]"
dominant,"[37, 42, 47, 52]"
dominant,"[37, 42, 47, 52]"
dominant,"[37, 42, 47, 52]"
none,"[40, 45, 50, 55]"
major-seventh,"[27, 34, 37, 42]"
major-seventh,"[27, 34, 37, 42]"
major-seventh,"[28, 33, 37, 42]"
major-seventh,"[28, 33, 37, 42]"
minor-seventh,"[28, 30, 35, 38]"
dominant,"[34, 37, 42]"
minor-seventh,"[23, 30, 33, 37]"
dominant,"[28, 33, 37, 42]"
minor-seventh,"[23, 30, 33, 38]"
dominant,"[28, 32, 37, 42]"
dominant,"[35, 37, 38, 40]"
major,"[28, 32, 33, 35]"
dominant,"[35, 37, 38, 40]"
major,"[37, 39, 40, 42]"
dominant,"[35, 37, 38, 40]"
major,"[35, 37, 39, 40]"
dominant,"[33, 36, 38, 39]"
dominant,"[35, 37, 38, 40]"
dominant,"[36, 38, 39, 41]"
minor-sixth,"[28, 37, 43, 47, 54]"
dominant-13th,"[28, 38, 44, 49, 54]"
half-diminished,"[28, 34, 38, 45]"
dominant,"[28, 38, 44, 48]"
dominant,"[28, 38, 44, 47]"
dominant,"[28, 44, 47, 53]"
half-diminished,"[31, 41, 46, 50]"
dominant,"[26, 48, 53, 57]"
dominant,"[35, 38, 42]"
dominant,"[32, 35, 38, 42]"
dominant,"[32, 35, 38, 41]"
dominant,"[28, 41, 44, 50]"
minor-sixth,"[28, 38, 40, 43, 47, 49]"
dominant,"[28, 41, 44, 50]"
major-minor,"[31, 35, 37, 40, 43, 47, 51, 54]"
half-diminished,"[28, 38, 43, 46, 50, 57]"
augmented-seventh,"[28, 38, 44, 48, 55]"
half-diminished,"[28, 38, 43, 46, 50, 57]"
augmented-seventh,"[28, 38, 44, 48, 55]"
half-diminished,"[28, 38, 43, 46, 50, 57]"
augmented-seventh,"[28, 38, 44, 48, 55]"
major,"[28, 38, 43, 46]"
half-diminished,"[27, 37, 42, 45]"
major-minor,"[16, 23, 31, 39, 45]"
major-minor,"[16, 31, 39, 45]"
minor-seventh,"[27, 39, 47, 52]"
half-diminished,"[38, 43, 46, 50]"
half-diminished,"[28, 38, 43, 46, 50]"
dominant,"[28, 38, 41, 44, 50]"
minor-seventh,"[16, 31, 35, 37, 43]"
dominant-13th,"[28, 38, 42, 44, 49, 56]"
minor-seventh,"[28, 38, 43, 50]"
dominant-13th,"[16, 26, 32, 37, 44]"
minor-seventh,"[28, 38, 43, 50]"
dominant-13th,"[16, 26, 32, 37, 44]"
dominant-13th,"[28, 38, 44, 49, 56]"
minor-seventh,"[16, 31, 37, 42, 47]"
dominant,"[28, 38, 42, 44]"
half-diminished,"[16, 31, 38, 46]"
dominant,"[28, 38, 42, 46]"
dominant,"[28, 38, 44]"
dominant,"[28, 32, 38, 41, 46, 52]"
minor-ninth,"[27, 39, 47, 52]"
half-diminished,"[28, 34, 38, 43]"
half-diminished,"[28, 38, 43, 46, 50, 57]"
dominant,"[28, 38, 41, 46, 50]"
minor-seventh,"[35, 38, 43]"
dominant,"[32, 37, 44]"
minor-seventh,"[28, 38, 43, 50]"
dominant,"[32, 37, 44]"
minor-seventh,"[28, 38, 43, 50]"
dominant,"[32, 37, 44]"
dominant,"[32, 37, 44, 45]"
major-seventh,"[30, 40, 46, 51]"
dominant-13th,"[28, 38, 44, 49]"
half-diminished,"[28, 34, 38, 43, 46]"
dominant,"[30, 32, 34]"
minor-seventh,"[16, 30, 31, 37, 40]"
half-diminished,"[28, 34, 38, 43, 46]"
dominant,"[28, 38, 42, 44, 46]"
dominant,"[28, 38, 44]"
dominant,"[29, 34, 38, 40]"
half-diminished,"[28, 34, 38, 43, 46]"
dominant,"[28, 38, 42, 46, 47]"
dominant,"[28, 38, 42, 44]"
major,"[26, 32, 36, 41, 46, 50, 52]"
minor-seventh,"[28, 38, 43, 47, 50, 55]"
minor-11th,"[28, 38, 43, 47, 50, 54, 57]"
minor-11th,"[28, 38, 43, 47, 50, 54, 57]"
dominant,"[28, 38, 42, 44, 52]"
minor-seventh,"[16, 26, 31, 35, 38, 43]"
minor-11th,"[16, 31, 35, 38, 42, 45]"
minor-11th,"[16, 31, 35, 38, 42, 45]"
dominant,"[28, 38, 42, 44, 47, 49, 52]"
minor-11th,"[28, 38, 43, 47, 50, 54, 57]"
dominant,"[28, 38, 42, 44, 47, 49, 52]"
minor-11th,"[28, 38, 43, 47, 50, 54, 57]"
dominant,"[28, 38, 42, 44, 49, 52]"
minor-11th,"[28, 38, 43, 47, 50, 54, 57]"
dominant,"[28, 38, 42, 44, 49, 52]"
minor-11th,"[28, 38, 43, 47, 50, 54, 57]"
dominant,"[29, 34, 38, 40]"
minor-seventh,"[27, 39, 47]"
half-diminished,"[28, 34, 38, 43]"
half-diminished,"[28, 38, 43, 46, 50, 57]"
dominant,"[28, 38, 41, 46, 50]"
minor-seventh,"[35, 38, 43]"
dominant,"[32, 37, 44, 45]"
minor-seventh,"[28, 38, 43, 50]"
dominant,"[32, 37, 44]"
minor-seventh,"[28, 38, 43, 50]"
dominant,"[16, 26, 32, 37, 44]"
dominant-13th,"[32, 38, 44, 45]"
major-seventh,"[28, 39, 44, 49, 56]"
half-diminished,"[28, 34, 38, 43, 46]"
dominant,"[28, 32, 38, 42, 46]"
dominant,"[28, 38, 41, 47]"
minor-seventh,"[16, 23, 30, 31, 37, 40]"
major-minor,"[28, 37, 43, 54, 63]"
major-seventh,"[16, 35, 39, 44]"
major-seventh,"[30, 40, 44, 47, 51]"
major-seventh,"[23, 37, 40, 47]"
major-seventh,"[30, 44, 47, 54]"
major-sixth,"[16, 28, 32, 37, 42]"
major-seventh,"[30, 35, 40, 42]"
major-sixth,"[16, 32, 37, 42]"
major,"[28, 32, 35, 39]"
major-seventh,"[16, 39, 42, 44, 47]"
